modelNumber,bestFitness,epochsToSolution,trainingMinutes,convertedEpochs,initialPercentageNodesUsed,finalPercentageNodesUsed,minInputs,maxInputs
141,-107.17,-1,806.97,20000,70.16,38.03,5,8
142,-104.85,9792,454.39,9792,47.21,34.43,5,8
143,-107.83,-1,716.87,20000,33.77,43.61,5,8
144,-104.98,3965,184.6,3965,59.02,45.25,5,8
145,-104.91,7039,378.6,7039,52.13,65.57,5,9
146,-109.81,-1,741.6,20000,35.74,44.59,5,9
147,-107.65,-1,779.86,20000,60.33,38.03,5,9
148,-104.89,6729,333.07,6729,30.49,33.44,5,9
149,-112.59,-1,833.69,20000,60.0,51.8,5,9
150,-107.21,-1,775.74,20000,65.57,40.66,6,7
151,-108.88,-1,811.14,20000,60.33,51.15,6,7
152,-108.39,-1,777.5,20000,52.13,39.67,6,7
153,-104.93,9389,342.69,9389,53.44,32.79,6,7
154,-107.75,-1,750.18,20000,34.1,49.84,6,7
155,-104.97,7300,306.46,7300,68.2,49.18,6,8
156,-104.95,5105,237.57,5105,51.8,47.54,6,8
157,-104.64,3520,185.07,3520,46.56,58.69,6,8
158,-104.97,18065,844.74,18065,58.36,49.84,6,8
159,-106.38,-1,912.67,20000,28.85,35.41,6,8
160,-104.94,2902,121.0,2902,65.25,18.36,6,9
161,-104.73,7680,390.74,7680,31.48,46.23,6,9
162,-110.83,-1,903.15,20000,65.25,38.36,6,9
163,-110.3,-1,687.23,20000,24.92,44.92,6,9
164,-104.1,12633,647.0,12633,57.38,27.54,6,9
165,-104.97,7010,313.95,7010,52.46,45.57,7,8
166,-104.97,336,15.03,336,41.97,31.8,7,8
167,-104.94,3808,206.82,3808,32.13,56.72,7,8
168,-104.43,2420,120.17,2420,64.26,30.82,7,8
169,-100.0,7113,328.15,7113,47.87,55.74,7,8
170,-107.31,-1,819.7,20000,54.1,32.79,7,9
171,-103.69,6709,303.55,6709,57.7,50.82,7,9
172,-104.76,3743,193.95,3743,64.26,54.75,7,9
173,-107.33,-1,871.16,20000,52.79,55.41,7,9
174,-121.08,-1,951.79,20000,56.39,54.75,7,9
175,-104.41,4669,252.23,4669,62.62,37.38,8,9
176,-109.67,-1,1024.75,20000,48.52,54.75,8,9
177,-104.98,14292,869.71,14292,80.98,21.64,8,9
178,-104.95,5069,337.61,5069,76.07,54.1,8,9
179,-104.89,14229,691.94,14229,65.9,38.36,8,9
