epoch,seconds,min,max,mean,median,percentNodesUsed
0,2.03,-202.86,-202.56,-202.73,-202.68,40.00
1,1.94,-204.85,-202.70,-203.12,-202.82,40.00
2,1.92,-202.92,-202.54,-202.76,-202.80,40.00
3,1.88,-204.98,-202.52,-203.03,-202.72,40.00
4,1.88,-202.97,-202.58,-202.72,-202.67,40.00
5,1.87,-202.93,-202.59,-202.69,-202.66,40.00
6,1.86,-202.75,-202.45,-202.64,-202.64,40.00
7,1.86,-202.79,-202.50,-202.65,-202.64,40.00
8,1.90,-202.89,-202.55,-202.70,-202.67,40.00
9,1.87,-202.77,-202.60,-202.70,-202.73,40.00
10,1.86,-202.92,-202.58,-202.72,-202.68,40.00
11,1.87,-202.85,-202.58,-202.69,-202.66,40.00
12,2.01,-202.84,-202.51,-202.67,-202.68,40.00
13,1.94,-202.84,-202.47,-202.64,-202.64,40.00
14,2.10,-202.90,-202.52,-202.72,-202.71,40.00
15,1.87,-202.89,-202.62,-202.75,-202.73,40.00
16,1.95,-202.89,-202.51,-202.64,-202.58,40.00
17,1.84,-202.96,-202.46,-202.67,-202.61,40.00
18,1.89,-204.73,-202.46,-202.97,-202.73,40.00
19,1.88,-202.76,-202.54,-202.69,-202.71,40.00
20,1.97,-202.81,-202.48,-202.63,-202.66,40.00
21,1.89,-205.04,-202.54,-202.98,-202.67,40.00
22,1.88,-202.89,-202.45,-202.67,-202.74,40.00
23,1.89,-204.65,-202.49,-202.90,-202.65,40.00
24,1.87,-202.75,-202.49,-202.61,-202.61,40.00
25,1.85,-202.80,-202.58,-202.69,-202.68,40.00
26,1.92,-202.80,-202.49,-202.65,-202.62,40.00
27,2.06,-202.68,-202.42,-202.58,-202.58,40.00
28,2.09,-202.62,-202.42,-202.56,-202.59,40.00
29,1.93,-202.90,-202.50,-202.73,-202.72,40.00
30,1.83,-202.88,-202.57,-202.71,-202.69,40.00
31,1.90,-204.73,-202.65,-203.03,-202.76,40.33
32,2.04,-202.89,-202.42,-202.70,-202.74,47.87
33,2.19,-202.80,-202.54,-202.64,-202.61,47.87
34,2.21,-202.93,-202.41,-202.68,-202.67,47.87
35,2.21,-202.93,-202.45,-202.72,-202.73,47.87
36,2.18,-202.77,-202.46,-202.62,-202.63,47.87
37,2.14,-203.01,-202.52,-202.79,-202.79,47.87
38,2.28,-202.93,-202.60,-202.78,-202.77,47.87
39,2.26,-202.94,-202.63,-202.80,-202.77,47.87
40,2.30,-202.83,-202.63,-202.74,-202.75,47.87
41,2.18,-203.03,-202.58,-202.74,-202.69,47.54
42,2.24,-202.83,-202.52,-202.67,-202.63,47.54
43,2.23,-202.80,-202.44,-202.70,-202.74,47.54
44,2.14,-203.02,-202.61,-202.74,-202.69,47.54
45,2.19,-203.03,-202.52,-202.77,-202.72,47.54
46,2.16,-202.83,-202.45,-202.66,-202.68,47.54
47,2.21,-202.93,-202.59,-202.67,-202.65,47.54
48,2.17,-205.04,-202.42,-203.01,-202.73,47.54
49,2.18,-202.94,-202.58,-202.70,-202.67,47.54
50,2.17,-202.91,-202.60,-202.77,-202.76,47.54
51,2.15,-202.80,-202.65,-202.72,-202.72,47.54
52,2.24,-202.74,-202.61,-202.68,-202.69,47.54
53,2.18,-202.71,-202.52,-202.64,-202.66,47.54
54,2.26,-202.92,-202.59,-202.77,-202.78,47.54
55,2.17,-202.89,-202.55,-202.71,-202.72,47.54
56,2.20,-202.94,-202.49,-202.70,-202.69,47.54
57,2.27,-202.91,-202.58,-202.69,-202.68,47.54
58,2.51,-202.78,-202.64,-202.69,-202.69,47.54
59,2.39,-202.92,-202.48,-202.73,-202.77,47.54
60,2.23,-202.84,-202.67,-202.71,-202.68,47.54
61,2.17,-202.75,-202.58,-202.68,-202.67,47.54
62,2.21,-202.91,-202.52,-202.71,-202.71,47.54
63,2.20,-202.92,-202.69,-202.77,-202.73,47.54
64,2.23,-202.84,-202.55,-202.67,-202.68,47.54
65,2.21,-203.02,-202.51,-202.73,-202.69,47.54
66,2.28,-202.89,-202.47,-202.65,-202.64,47.54
67,2.19,-202.85,-202.51,-202.70,-202.72,47.54
68,2.27,-202.91,-202.62,-202.71,-202.65,47.54
69,2.27,-202.93,-202.48,-202.69,-202.73,47.54
70,2.31,-202.94,-202.57,-202.74,-202.75,47.54
71,2.25,-202.80,-202.52,-202.65,-202.64,47.54
72,2.55,-202.83,-202.50,-202.67,-202.66,47.54
73,2.23,-202.94,-202.52,-202.70,-202.72,47.87
74,2.21,-202.82,-202.53,-202.70,-202.74,47.87
75,2.28,-202.76,-202.51,-202.65,-202.65,47.87
76,2.17,-202.94,-202.54,-202.70,-202.70,47.87
77,2.14,-202.89,-202.41,-202.67,-202.69,47.87
78,2.33,-202.76,-202.55,-202.64,-202.61,47.87
79,2.28,-202.81,-202.59,-202.69,-202.68,47.87
80,2.43,-202.76,-202.56,-202.65,-202.63,47.87
81,2.35,-202.90,-202.44,-202.63,-202.61,47.87
82,2.33,-205.07,-202.48,-202.99,-202.62,47.87
83,2.35,-203.00,-202.59,-202.76,-202.73,47.87
84,2.28,-205.15,-202.55,-203.01,-202.67,47.87
85,2.21,-202.80,-202.52,-202.69,-202.69,47.87
86,2.24,-202.82,-202.49,-202.70,-202.77,47.87
87,2.18,-205.13,-202.52,-202.99,-202.63,47.87
88,2.24,-205.16,-202.52,-203.04,-202.79,47.87
89,2.16,-202.81,-202.53,-202.67,-202.70,47.87
90,2.27,-202.78,-202.51,-202.67,-202.70,47.87
91,2.35,-202.78,-202.46,-202.64,-202.63,47.87
92,2.39,-202.93,-202.39,-202.68,-202.67,47.87
93,2.43,-202.87,-202.66,-202.75,-202.75,47.87
94,2.31,-202.85,-202.48,-202.65,-202.67,47.87
95,2.55,-203.01,-202.47,-202.77,-202.78,47.87
96,2.58,-202.85,-202.55,-202.69,-202.67,47.87
97,2.37,-202.78,-202.53,-202.68,-202.70,47.87
98,2.36,-202.95,-202.47,-202.72,-202.73,47.87
99,2.32,-202.80,-202.52,-202.65,-202.62,47.87
100,2.32,-202.88,-202.61,-202.67,-202.64,47.87
101,2.39,-202.94,-202.53,-202.72,-202.69,47.54
102,2.56,-202.88,-202.56,-202.73,-202.73,47.54
103,2.33,-202.83,-202.59,-202.71,-202.69,47.54
104,2.34,-202.90,-202.67,-202.74,-202.71,47.54
105,2.29,-202.92,-202.63,-202.76,-202.75,47.54
106,2.25,-202.85,-202.56,-202.75,-202.78,47.54
107,2.17,-202.86,-202.39,-202.60,-202.61,47.54
108,2.21,-202.80,-202.59,-202.69,-202.68,47.54
109,2.18,-202.82,-202.61,-202.69,-202.67,47.54
110,2.16,-202.71,-202.48,-202.64,-202.66,47.54
111,2.19,-202.75,-202.58,-202.67,-202.70,47.54
112,2.17,-203.03,-202.55,-202.70,-202.68,47.54
113,2.22,-202.85,-202.58,-202.73,-202.77,47.54
114,2.35,-202.89,-202.46,-202.68,-202.68,47.54
115,2.33,-202.82,-202.46,-202.65,-202.67,47.54
116,2.24,-202.99,-202.58,-202.72,-202.69,47.54
117,2.25,-202.76,-202.60,-202.68,-202.66,47.54
118,2.34,-202.88,-202.55,-202.76,-202.84,47.54
119,2.21,-202.87,-202.51,-202.69,-202.66,47.54
120,2.20,-202.85,-202.50,-202.64,-202.61,47.54
121,2.34,-202.77,-202.55,-202.66,-202.65,47.54
122,2.26,-202.80,-202.48,-202.62,-202.60,47.54
123,2.18,-202.87,-202.49,-202.68,-202.66,47.54
124,2.21,-202.86,-202.53,-202.66,-202.65,47.54
125,2.20,-202.87,-202.60,-202.72,-202.73,47.54
126,2.21,-202.96,-202.59,-202.74,-202.66,47.54
127,2.32,-203.02,-202.70,-202.80,-202.73,47.54
128,2.15,-202.84,-202.49,-202.69,-202.73,47.54
129,2.16,-202.87,-202.55,-202.74,-202.77,47.54
130,2.23,-202.82,-202.56,-202.67,-202.66,47.54
131,2.17,-202.86,-202.59,-202.68,-202.65,47.54
132,2.16,-202.90,-202.59,-202.71,-202.70,47.54
133,2.16,-202.81,-202.53,-202.66,-202.61,47.54
134,2.17,-202.96,-202.53,-202.70,-202.68,47.54
135,2.43,-202.86,-202.62,-202.72,-202.67,47.54
136,2.35,-202.90,-202.53,-202.73,-202.73,47.54
137,2.23,-202.85,-202.64,-202.74,-202.73,47.54
138,2.15,-204.62,-202.52,-202.92,-202.64,47.54
139,2.23,-202.99,-202.55,-202.66,-202.57,47.54
140,2.18,-202.74,-202.52,-202.64,-202.67,47.54
141,2.22,-202.87,-202.53,-202.74,-202.79,47.54
142,2.16,-202.86,-202.51,-202.69,-202.68,47.54
143,2.25,-202.76,-202.64,-202.69,-202.67,47.54
144,2.19,-203.00,-202.61,-202.73,-202.70,41.31
145,2.00,-202.86,-202.53,-202.71,-202.75,41.31
146,2.03,-202.90,-202.43,-202.63,-202.62,41.31
147,1.97,-202.76,-202.39,-202.59,-202.60,41.31
148,2.09,-202.85,-202.48,-202.67,-202.67,41.31
149,1.99,-202.94,-202.60,-202.73,-202.71,41.31
150,1.95,-202.84,-202.53,-202.69,-202.73,41.31
151,1.91,-202.89,-202.50,-202.66,-202.66,41.31
152,1.96,-202.81,-202.53,-202.68,-202.68,41.31
153,1.94,-202.70,-202.55,-202.65,-202.68,41.31
154,1.95,-202.80,-202.61,-202.69,-202.72,41.31
155,1.95,-202.96,-202.57,-202.70,-202.67,41.31
156,2.14,-202.84,-202.57,-202.69,-202.71,41.31
157,2.03,-202.90,-202.57,-202.74,-202.72,41.31
158,2.03,-202.92,-202.46,-202.65,-202.64,41.31
159,2.00,-202.86,-202.50,-202.70,-202.71,41.31
160,2.08,-202.91,-202.53,-202.67,-202.63,41.31
161,2.08,-202.77,-202.52,-202.68,-202.69,41.31
162,2.02,-202.76,-202.49,-202.64,-202.66,41.31
163,2.02,-202.77,-202.60,-202.70,-202.70,41.31
164,1.99,-204.86,-202.56,-203.06,-202.73,41.31
165,1.97,-202.83,-202.53,-202.70,-202.75,41.31
166,1.96,-205.06,-202.61,-203.08,-202.80,41.31
167,2.00,-202.86,-202.41,-202.67,-202.68,41.31
168,1.96,-203.00,-202.57,-202.73,-202.73,41.31
169,1.95,-203.04,-202.56,-202.76,-202.72,41.31
170,2.04,-202.75,-202.53,-202.65,-202.67,41.31
171,2.12,-205.02,-202.52,-203.03,-202.74,41.31
172,1.96,-202.79,-202.35,-202.58,-202.57,38.03
173,1.96,-202.82,-202.57,-202.70,-202.70,38.03
174,2.63,-205.14,-202.54,-203.03,-202.76,38.03
175,1.86,-202.80,-202.47,-202.62,-202.58,38.03
176,1.91,-202.81,-202.60,-202.71,-202.74,38.03
177,1.86,-203.06,-202.58,-202.72,-202.62,38.03
178,1.89,-202.82,-202.52,-202.68,-202.68,38.03
