epoch,seconds,min,max,mean,median,percentNodesUsed
0,1.90,-203.00,-202.52,-202.73,-202.75,36.72
1,1.86,-202.86,-202.51,-202.68,-202.64,36.72
2,1.93,-202.87,-202.58,-202.68,-202.64,36.72
3,1.88,-202.84,-202.55,-202.69,-202.73,36.72
4,1.90,-203.10,-202.57,-202.76,-202.69,36.72
5,2.20,-202.71,-202.54,-202.63,-202.63,36.72
6,1.81,-202.93,-202.58,-202.78,-202.78,36.72
7,1.55,-202.80,-202.51,-202.67,-202.64,17.05
8,0.81,-202.99,-202.43,-202.78,-202.77,17.05
9,0.87,-202.92,-202.47,-202.70,-202.73,17.05
10,1.18,-202.84,-202.51,-202.69,-202.70,17.05
11,1.02,-202.74,-202.55,-202.66,-202.70,17.05
12,1.02,-202.79,-202.58,-202.69,-202.69,17.05
13,1.22,-202.95,-202.65,-202.78,-202.73,17.05
14,1.20,-202.87,-202.58,-202.77,-202.80,17.05
15,1.17,-202.96,-202.62,-202.75,-202.71,17.05
16,1.17,-202.82,-202.43,-202.57,-202.54,17.05
17,1.64,-205.00,-202.59,-203.01,-202.68,17.05
18,1.30,-203.02,-202.52,-202.69,-202.67,17.05
19,1.38,-202.87,-202.55,-202.73,-202.76,17.05
20,1.24,-202.80,-202.49,-202.67,-202.65,17.05
21,0.86,-202.95,-202.49,-202.68,-202.61,17.05
22,0.98,-202.90,-202.52,-202.72,-202.71,22.30
23,1.07,-204.89,-202.44,-203.07,-202.80,22.30
24,1.16,-202.90,-202.51,-202.72,-202.66,22.30
25,1.02,-202.86,-202.50,-202.73,-202.73,22.30
26,1.13,-202.86,-202.48,-202.62,-202.60,22.30
27,1.57,-202.90,-202.53,-202.69,-202.63,22.30
28,1.38,-202.75,-202.54,-202.62,-202.59,22.30
29,1.22,-202.89,-202.51,-202.67,-202.69,22.30
30,1.27,-204.66,-202.58,-203.00,-202.69,22.30
31,1.24,-204.78,-202.47,-203.28,-202.84,22.30
32,1.32,-202.87,-202.47,-202.67,-202.64,22.30
33,1.14,-203.03,-202.61,-202.77,-202.75,22.30
34,1.35,-202.90,-202.54,-202.74,-202.71,22.30
35,1.26,-202.91,-202.56,-202.71,-202.67,22.30
36,1.17,-204.80,-202.50,-202.92,-202.62,22.30
37,1.03,-202.83,-202.52,-202.70,-202.68,22.30
38,1.03,-202.80,-202.45,-202.65,-202.67,22.30
39,1.22,-202.96,-202.43,-202.67,-202.60,22.30
40,1.37,-202.94,-202.62,-202.75,-202.73,22.30
41,1.02,-202.75,-202.49,-202.64,-202.72,22.30
42,1.17,-202.91,-202.51,-202.70,-202.65,22.30
43,1.38,-203.05,-202.60,-202.73,-202.67,22.30
44,1.31,-202.80,-202.50,-202.68,-202.65,21.97
45,1.34,-202.71,-202.48,-202.62,-202.68,21.97
46,1.32,-202.88,-202.55,-202.71,-202.72,21.97
47,1.01,-202.78,-202.57,-202.66,-202.67,21.97
48,1.63,-202.77,-202.57,-202.68,-202.69,21.97
49,1.61,-202.83,-202.52,-202.71,-202.70,21.97
50,0.99,-202.84,-202.48,-202.61,-202.58,21.97
51,1.26,-202.76,-202.58,-202.67,-202.66,21.97
52,1.42,-202.96,-202.51,-202.68,-202.67,21.97
53,1.07,-202.88,-202.52,-202.73,-202.77,21.97
54,1.55,-202.92,-202.55,-202.66,-202.62,21.97
55,1.42,-202.77,-202.40,-202.61,-202.64,21.97
56,1.45,-202.84,-202.52,-202.71,-202.71,21.97
57,1.46,-202.85,-202.66,-202.71,-202.68,21.97
58,1.57,-202.84,-202.51,-202.65,-202.67,21.97
59,1.54,-202.91,-202.52,-202.71,-202.70,21.97
60,1.69,-204.10,-202.51,-202.93,-202.79,21.97
61,1.42,-202.92,-202.50,-202.69,-202.68,21.97
62,1.78,-202.87,-202.46,-202.66,-202.62,21.97
63,1.36,-202.82,-202.58,-202.72,-202.70,21.97
64,1.62,-202.93,-202.53,-202.75,-202.78,21.97
65,1.51,-204.68,-202.56,-203.03,-202.80,21.97
66,1.32,-204.79,-202.52,-203.00,-202.73,21.97
67,1.44,-202.81,-202.48,-202.67,-202.69,21.97
68,1.58,-202.75,-202.49,-202.62,-202.65,21.97
69,1.55,-202.98,-202.51,-202.68,-202.68,21.97
70,1.00,-202.80,-202.44,-202.65,-202.66,21.97
71,1.39,-205.09,-202.60,-203.13,-202.88,21.97
72,1.45,-202.87,-202.57,-202.72,-202.70,21.97
73,1.64,-202.87,-202.54,-202.68,-202.63,21.97
74,1.48,-202.85,-202.47,-202.66,-202.63,21.97
75,1.67,-202.84,-202.56,-202.68,-202.63,21.97
76,1.77,-204.82,-202.53,-202.99,-202.74,21.97
77,1.77,-202.84,-202.61,-202.73,-202.70,21.97
78,1.89,-202.71,-202.37,-202.59,-202.65,21.97
79,1.92,-202.73,-202.48,-202.63,-202.64,21.97
80,1.62,-202.86,-202.58,-202.71,-202.72,21.97
81,1.18,-202.93,-202.51,-202.73,-202.71,21.97
82,1.55,-202.72,-202.46,-202.61,-202.61,21.97
83,1.04,-202.79,-202.60,-202.69,-202.67,21.97
84,1.56,-204.78,-202.59,-203.29,-202.76,21.97
85,1.21,-202.89,-202.51,-202.71,-202.71,21.97
86,2.10,-204.75,-202.47,-202.97,-202.67,21.97
87,1.52,-202.88,-202.56,-202.66,-202.63,21.97
88,1.79,-202.94,-202.43,-202.70,-202.67,21.97
89,2.01,-204.69,-202.54,-202.95,-202.70,21.97
90,1.59,-202.89,-202.49,-202.65,-202.62,21.97
91,1.78,-202.79,-202.46,-202.65,-202.64,21.97
92,1.81,-202.90,-202.41,-202.63,-202.55,21.97
93,1.34,-202.77,-202.53,-202.65,-202.66,21.97
94,0.98,-202.78,-202.56,-202.65,-202.63,21.97
95,1.10,-202.86,-202.48,-202.63,-202.62,21.97
