epoch,seconds,min,max,mean,median,percentNodesUsed
0,1.39,-202.88,-202.51,-202.70,-202.69,36.39
1,1.54,-205.04,-202.63,-203.36,-202.74,36.39
2,1.58,-202.82,-202.53,-202.72,-202.77,36.39
3,1.63,-202.83,-202.58,-202.73,-202.74,36.39
4,1.36,-202.81,-202.57,-202.67,-202.62,37.38
5,1.78,-202.96,-202.61,-202.79,-202.84,37.38
6,1.52,-202.89,-202.58,-202.69,-202.68,38.03
7,1.43,-202.86,-202.57,-202.68,-202.66,38.03
8,1.63,-202.86,-202.58,-202.68,-202.65,38.03
9,1.74,-202.80,-202.49,-202.61,-202.59,38.03
10,1.71,-202.73,-202.56,-202.64,-202.62,38.03
11,1.40,-202.94,-202.53,-202.70,-202.71,38.03
12,1.79,-202.96,-202.61,-202.74,-202.70,39.02
13,1.43,-202.88,-202.64,-202.77,-202.78,39.02
14,1.43,-203.03,-202.47,-202.66,-202.59,39.02
15,1.41,-202.82,-202.59,-202.70,-202.71,39.02
16,1.45,-202.82,-202.57,-202.70,-202.71,39.02
17,1.64,-203.01,-202.50,-202.63,-202.57,39.02
18,1.75,-202.86,-202.54,-202.67,-202.66,39.02
19,1.42,-202.79,-202.51,-202.69,-202.74,39.02
20,1.43,-202.91,-202.66,-202.75,-202.68,39.02
21,2.16,-202.88,-202.58,-202.75,-202.77,39.02
22,2.06,-202.78,-202.48,-202.64,-202.67,39.02
23,2.23,-202.84,-202.51,-202.64,-202.61,39.02
24,2.27,-202.96,-202.57,-202.68,-202.60,39.02
25,1.64,-202.74,-202.52,-202.61,-202.60,39.02
26,1.73,-202.99,-202.61,-202.74,-202.72,39.02
27,1.72,-202.84,-202.57,-202.70,-202.68,39.02
28,1.42,-202.99,-202.55,-202.71,-202.69,39.02
29,1.73,-202.84,-202.53,-202.67,-202.64,39.02
30,1.85,-202.81,-202.53,-202.68,-202.69,39.02
31,1.67,-202.85,-202.62,-202.71,-202.72,39.02
32,1.77,-202.88,-202.53,-202.74,-202.78,39.02
33,1.68,-202.93,-202.51,-202.70,-202.65,39.02
34,1.43,-204.89,-202.52,-203.02,-202.76,39.02
35,1.90,-203.00,-202.56,-202.72,-202.67,39.02
36,1.46,-202.74,-202.51,-202.64,-202.66,39.02
37,1.43,-203.02,-202.48,-202.69,-202.67,39.02
38,1.82,-202.77,-202.53,-202.67,-202.67,39.02
39,1.81,-202.65,-202.54,-202.58,-202.58,39.02
40,1.81,-202.87,-202.59,-202.68,-202.65,39.02
41,1.71,-202.89,-202.51,-202.69,-202.71,39.02
42,1.43,-202.67,-202.53,-202.60,-202.58,39.02
43,1.76,-202.80,-202.43,-202.64,-202.67,39.02
44,1.66,-202.98,-202.68,-202.79,-202.77,39.02
45,1.68,-202.80,-202.54,-202.63,-202.59,39.02
46,1.69,-202.88,-202.63,-202.76,-202.76,39.02
47,1.49,-202.86,-202.51,-202.66,-202.64,39.02
48,1.78,-202.94,-202.58,-202.72,-202.68,39.02
49,1.75,-202.95,-202.54,-202.74,-202.72,39.02
50,1.52,-202.76,-202.52,-202.66,-202.70,39.02
51,1.54,-202.85,-202.59,-202.69,-202.65,39.02
52,1.66,-202.74,-202.56,-202.65,-202.65,39.02
53,2.03,-202.85,-202.50,-202.70,-202.72,39.02
54,1.87,-202.83,-202.54,-202.70,-202.69,39.02
55,1.42,-202.79,-202.51,-202.67,-202.69,39.02
56,1.80,-202.96,-202.56,-202.70,-202.66,39.02
57,2.02,-202.97,-202.50,-202.74,-202.70,39.02
58,1.94,-202.89,-202.58,-202.74,-202.74,39.02
59,1.92,-202.86,-202.53,-202.68,-202.62,39.02
60,1.81,-202.87,-202.56,-202.67,-202.64,39.02
61,1.71,-202.90,-202.59,-202.69,-202.67,39.02
62,1.73,-202.89,-202.57,-202.72,-202.67,39.02
63,1.70,-202.89,-202.51,-202.64,-202.57,39.02
64,1.52,-202.86,-202.49,-202.69,-202.69,39.02
65,1.49,-202.92,-202.48,-202.71,-202.75,39.02
66,1.53,-203.01,-202.60,-202.72,-202.67,39.02
67,1.53,-205.07,-202.59,-203.03,-202.66,39.02
68,1.72,-202.96,-202.47,-202.69,-202.69,39.02
69,1.93,-202.88,-202.57,-202.71,-202.71,39.02
70,1.86,-202.96,-202.55,-202.72,-202.67,39.02
71,1.42,-203.03,-202.57,-202.76,-202.77,39.02
72,1.42,-202.93,-202.55,-202.68,-202.63,39.02
73,1.85,-202.89,-202.38,-202.66,-202.68,39.02
74,1.42,-202.79,-202.57,-202.64,-202.61,38.03
75,1.91,-202.84,-202.54,-202.66,-202.65,38.03
76,1.70,-202.82,-202.55,-202.70,-202.69,38.03
77,1.76,-202.81,-202.53,-202.68,-202.69,38.69
78,1.85,-202.79,-202.60,-202.67,-202.65,38.69
79,1.54,-202.88,-202.54,-202.71,-202.70,38.69
80,1.45,-202.74,-202.52,-202.59,-202.57,38.69
81,1.52,-203.09,-202.62,-202.75,-202.65,38.69
82,1.54,-202.92,-202.55,-202.73,-202.72,38.69
83,1.45,-203.07,-202.62,-202.74,-202.66,38.69
84,1.46,-202.82,-202.61,-202.68,-202.65,38.69
85,1.62,-205.22,-202.51,-203.01,-202.68,38.69
86,1.73,-202.81,-202.56,-202.72,-202.75,38.69
87,1.67,-202.82,-202.55,-202.70,-202.68,38.69
88,1.73,-202.92,-202.52,-202.69,-202.69,38.69
89,5.09,-202.89,-202.57,-202.73,-202.72,38.69
90,2.13,-202.90,-202.65,-202.77,-202.77,38.69
91,1.91,-202.94,-202.54,-202.67,-202.65,38.69
92,1.60,-202.92,-202.52,-202.74,-202.74,38.69
93,1.71,-202.68,-202.56,-202.60,-202.58,38.69
94,1.50,-202.78,-202.59,-202.69,-202.68,38.69
95,1.52,-202.84,-202.46,-202.60,-202.57,39.67
96,1.74,-204.93,-202.48,-203.05,-202.77,39.67
97,1.76,-202.76,-202.53,-202.60,-202.57,39.67
98,1.46,-202.75,-202.55,-202.65,-202.65,39.67
99,1.67,-202.90,-202.48,-202.72,-202.73,39.67
100,1.73,-202.87,-202.47,-202.66,-202.69,39.67
101,1.73,-202.81,-202.66,-202.74,-202.77,39.67
102,1.51,-202.97,-202.46,-202.69,-202.71,39.67
103,1.55,-202.92,-202.55,-202.68,-202.69,39.67
104,1.53,-202.87,-202.52,-202.71,-202.70,39.67
105,1.65,-203.05,-202.53,-202.69,-202.67,39.67
106,2.02,-202.72,-202.52,-202.62,-202.62,39.67
107,1.57,-202.71,-202.49,-202.61,-202.65,39.67
108,2.03,-202.88,-202.63,-202.75,-202.71,39.67
109,1.80,-202.77,-202.55,-202.67,-202.67,39.67
110,1.77,-202.94,-202.55,-202.67,-202.64,39.67
111,1.48,-202.77,-202.60,-202.69,-202.68,40.98
112,1.50,-202.82,-202.55,-202.73,-202.72,40.98
113,1.54,-202.74,-202.44,-202.59,-202.58,40.98
114,1.53,-202.78,-202.42,-202.65,-202.70,40.98
115,1.92,-202.87,-202.54,-202.63,-202.58,40.98
116,1.90,-202.86,-202.46,-202.67,-202.67,39.67
117,1.48,-202.76,-202.51,-202.65,-202.61,39.67
118,2.19,-202.92,-202.49,-202.70,-202.66,39.67
119,2.08,-202.93,-202.57,-202.69,-202.63,39.67
120,2.08,-202.90,-202.55,-202.70,-202.64,39.67
121,1.89,-202.87,-202.53,-202.67,-202.71,39.67
122,1.77,-202.83,-202.46,-202.68,-202.66,39.67
123,1.85,-202.88,-202.55,-202.68,-202.66,39.67
124,1.86,-202.76,-202.49,-202.65,-202.64,39.67
125,1.88,-202.82,-202.51,-202.70,-202.74,39.67
126,1.77,-202.98,-202.55,-202.73,-202.75,39.67
127,1.75,-202.85,-202.55,-202.72,-202.73,40.00
128,1.47,-202.82,-202.56,-202.68,-202.63,40.00
129,1.74,-202.79,-202.56,-202.67,-202.63,41.31
130,1.51,-202.90,-202.39,-202.73,-202.81,41.31
131,1.51,-202.76,-202.61,-202.68,-202.67,41.31
