epoch,seconds,min,max,mean,median,percentNodesUsed
0,3.36,-203.01,-202.57,-202.78,-202.82,58.69
1,3.43,-202.73,-202.48,-202.58,-202.57,58.69
2,3.37,-202.98,-202.51,-202.72,-202.67,58.69
3,3.43,-203.02,-202.50,-202.78,-202.78,58.69
4,3.38,-202.96,-202.59,-202.76,-202.75,58.69
5,3.09,-202.79,-202.54,-202.65,-202.66,58.69
6,2.99,-202.89,-202.60,-202.72,-202.65,58.69
7,3.54,-203.01,-202.52,-202.75,-202.77,58.69
8,3.60,-202.86,-202.56,-202.72,-202.74,58.69
9,3.99,-202.80,-202.58,-202.66,-202.60,58.69
10,2.97,-202.91,-202.59,-202.74,-202.75,58.69
11,3.53,-202.73,-202.58,-202.67,-202.69,58.69
12,3.49,-203.05,-202.54,-202.79,-202.79,58.69
13,2.78,-202.89,-202.47,-202.75,-202.79,58.69
14,2.99,-202.86,-202.58,-202.74,-202.78,58.69
15,3.01,-202.80,-202.55,-202.66,-202.63,58.69
16,3.38,-202.84,-202.51,-202.64,-202.63,58.69
17,3.01,-203.09,-202.54,-202.72,-202.68,58.69
18,3.51,-202.89,-202.62,-202.75,-202.77,58.69
19,3.29,-202.78,-202.51,-202.68,-202.69,58.69
20,3.02,-202.92,-202.60,-202.71,-202.69,58.69
21,3.44,-202.84,-202.52,-202.63,-202.62,58.69
22,2.87,-202.60,-202.44,-202.55,-202.57,58.69
23,2.92,-202.76,-202.58,-202.66,-202.65,58.69
24,2.96,-202.99,-202.50,-202.68,-202.65,58.69
25,3.75,-202.84,-202.53,-202.74,-202.79,58.69
26,3.37,-202.91,-202.51,-202.71,-202.68,58.69
27,12.23,-202.86,-202.38,-202.69,-202.72,58.69
28,4.40,-202.92,-202.60,-202.76,-202.77,58.69
29,3.13,-202.78,-202.53,-202.67,-202.63,58.69
30,6.60,-202.80,-202.59,-202.72,-202.76,58.69
31,8.14,-202.85,-202.50,-202.64,-202.65,58.36
32,5.55,-202.85,-202.52,-202.68,-202.65,58.36
33,3.07,-202.94,-202.60,-202.74,-202.76,58.36
34,3.17,-202.78,-202.58,-202.69,-202.69,58.36
35,3.27,-202.95,-202.51,-202.72,-202.63,58.36
36,3.25,-202.99,-202.43,-202.74,-202.73,58.36
37,3.24,-203.09,-202.58,-202.74,-202.71,58.36
38,3.14,-202.93,-202.47,-202.72,-202.72,58.36
39,3.12,-202.96,-202.67,-202.79,-202.75,58.36
40,3.12,-202.93,-202.58,-202.70,-202.70,58.36
41,2.83,-202.79,-202.54,-202.68,-202.66,58.36
42,2.88,-202.78,-202.48,-202.67,-202.72,58.36
43,2.90,-202.95,-202.55,-202.71,-202.74,58.36
44,3.02,-202.96,-202.59,-202.79,-202.85,58.36
45,3.02,-202.96,-202.55,-202.74,-202.69,58.36
46,3.24,-202.88,-202.56,-202.68,-202.62,58.36
47,3.28,-202.88,-202.50,-202.70,-202.75,58.36
48,3.07,-202.83,-202.44,-202.65,-202.66,58.36
49,3.08,-202.87,-202.57,-202.71,-202.72,58.36
50,3.32,-202.97,-202.69,-202.80,-202.75,58.36
51,3.21,-202.91,-202.52,-202.73,-202.72,58.36
52,3.25,-202.68,-202.48,-202.60,-202.61,58.36
53,2.90,-202.90,-202.48,-202.69,-202.66,58.36
54,2.81,-202.83,-202.48,-202.62,-202.61,58.36
55,2.98,-202.79,-202.57,-202.67,-202.64,58.36
56,3.11,-202.87,-202.49,-202.75,-202.86,58.36
57,3.10,-202.79,-202.47,-202.64,-202.65,58.36
58,3.34,-202.85,-202.52,-202.70,-202.72,58.36
59,3.05,-202.85,-202.54,-202.70,-202.75,58.36
60,3.17,-202.83,-202.53,-202.66,-202.66,58.36
61,3.18,-202.82,-202.63,-202.72,-202.70,58.36
62,3.19,-202.88,-202.56,-202.72,-202.77,58.36
63,3.01,-202.84,-202.57,-202.70,-202.68,58.36
64,3.01,-202.95,-202.55,-202.70,-202.67,58.36
65,3.31,-202.91,-202.58,-202.72,-202.71,58.36
66,2.99,-202.91,-202.61,-202.71,-202.69,58.36
67,3.27,-202.90,-202.57,-202.76,-202.77,58.36
68,3.15,-202.94,-202.52,-202.72,-202.73,58.36
69,3.04,-202.90,-202.57,-202.75,-202.70,58.36
70,3.59,-202.86,-202.54,-202.65,-202.63,58.36
71,2.92,-202.87,-202.50,-202.66,-202.56,58.36
72,2.84,-202.82,-202.57,-202.68,-202.66,58.36
73,3.04,-202.82,-202.49,-202.67,-202.67,58.36
74,3.04,-202.92,-202.58,-202.69,-202.66,58.36
75,3.14,-202.90,-202.57,-202.72,-202.68,58.36
76,3.48,-202.80,-202.43,-202.63,-202.63,58.36
77,2.77,-202.86,-202.54,-202.71,-202.69,58.36
78,3.77,-202.94,-202.58,-202.72,-202.68,58.36
79,3.36,-202.73,-202.42,-202.62,-202.63,58.36
80,2.76,-202.85,-202.57,-202.69,-202.68,58.36
81,3.89,-202.71,-202.49,-202.62,-202.65,58.36
82,3.05,-202.74,-202.50,-202.65,-202.65,58.36
83,2.79,-202.99,-202.47,-202.68,-202.64,58.36
84,3.21,-202.94,-202.54,-202.71,-202.67,58.36
85,3.72,-202.97,-202.58,-202.74,-202.67,58.36
86,2.86,-203.05,-202.62,-202.76,-202.67,58.36
87,3.45,-202.92,-202.49,-202.70,-202.78,58.36
88,3.28,-202.89,-202.59,-202.72,-202.72,58.36
89,2.80,-202.83,-202.46,-202.67,-202.69,58.69
90,3.34,-202.79,-202.46,-202.64,-202.65,58.69
91,3.27,-202.92,-202.51,-202.69,-202.65,58.69
92,3.42,-202.92,-202.53,-202.68,-202.67,58.69
93,3.44,-202.81,-202.50,-202.66,-202.65,58.69
94,3.17,-203.00,-202.50,-202.72,-202.71,58.69
95,3.31,-202.80,-202.52,-202.65,-202.65,58.69
96,3.04,-202.80,-202.49,-202.64,-202.61,58.69
97,2.92,-202.91,-202.68,-202.80,-202.79,58.69
98,4.97,-202.78,-202.48,-202.65,-202.64,58.69
99,3.70,-202.75,-202.54,-202.64,-202.61,58.69
100,3.28,-202.81,-202.55,-202.67,-202.67,58.69
101,4.36,-202.79,-202.49,-202.62,-202.61,58.69
102,3.35,-202.80,-202.44,-202.66,-202.70,58.69
103,3.83,-202.93,-202.68,-202.74,-202.72,58.36
104,3.83,-202.99,-202.58,-202.78,-202.82,58.36
105,4.80,-202.71,-202.57,-202.63,-202.63,58.36
106,2.94,-202.79,-202.41,-202.69,-202.72,58.36
107,4.65,-203.00,-202.58,-202.74,-202.66,58.36
108,3.02,-205.00,-202.67,-203.14,-202.94,58.36
109,3.14,-202.75,-202.47,-202.58,-202.57,58.36
110,4.87,-203.12,-202.55,-202.74,-202.68,58.36
111,3.05,-202.91,-202.55,-202.75,-202.85,58.36
112,4.01,-205.01,-202.45,-203.01,-202.64,58.36
113,4.95,-205.20,-202.33,-203.05,-202.75,58.36
114,3.49,-202.97,-202.52,-202.69,-202.63,58.36
115,3.08,-203.00,-202.53,-202.72,-202.73,58.36
116,3.08,-202.96,-202.49,-202.68,-202.63,58.36
117,5.02,-203.05,-202.58,-202.81,-202.77,58.36
118,3.82,-202.78,-202.43,-202.62,-202.62,58.36
119,3.42,-205.03,-202.62,-203.03,-202.69,58.36
120,2.79,-202.86,-202.58,-202.73,-202.70,55.08
121,3.40,-202.80,-202.52,-202.65,-202.66,55.08
122,2.75,-202.97,-202.50,-202.72,-202.71,55.08
123,2.70,-203.13,-202.42,-202.73,-202.70,55.08
124,2.84,-202.85,-202.49,-202.67,-202.69,55.08
125,3.16,-202.81,-202.53,-202.66,-202.65,55.08
126,2.66,-202.99,-202.59,-202.77,-202.75,55.08
127,4.70,-202.78,-202.55,-202.67,-202.66,55.08
128,4.60,-202.79,-202.64,-202.70,-202.69,55.08
129,4.69,-202.82,-202.62,-202.68,-202.65,55.08
130,3.31,-202.79,-202.51,-202.65,-202.66,55.08
131,2.73,-202.66,-202.35,-202.56,-202.58,55.08
132,2.61,-202.88,-202.49,-202.69,-202.63,55.08
133,2.69,-202.79,-202.57,-202.68,-202.67,55.08
134,3.05,-202.77,-202.61,-202.68,-202.65,55.08
135,2.91,-202.81,-202.52,-202.69,-202.73,55.08
136,3.09,-202.96,-202.62,-202.76,-202.75,55.08
137,3.07,-203.31,-202.54,-202.70,-202.61,55.08
138,3.05,-203.01,-202.55,-202.72,-202.68,55.08
139,2.76,-202.95,-202.59,-202.75,-202.78,55.08
140,3.22,-203.04,-202.58,-202.76,-202.75,55.08
141,3.27,-202.90,-202.36,-202.66,-202.70,55.08
142,3.27,-202.89,-202.59,-202.74,-202.73,55.08
143,3.11,-202.93,-202.50,-202.66,-202.68,55.08
144,3.31,-204.90,-202.62,-203.07,-202.79,55.08
145,3.00,-202.89,-202.61,-202.72,-202.65,55.08
146,3.22,-202.81,-202.65,-202.72,-202.71,55.08
147,3.13,-202.82,-202.56,-202.64,-202.57,55.08
148,3.28,-202.85,-202.51,-202.67,-202.68,55.08
149,2.75,-202.81,-202.46,-202.66,-202.69,55.08
150,2.70,-202.94,-202.61,-202.71,-202.65,55.08
151,2.73,-202.71,-202.54,-202.66,-202.69,55.08
152,2.86,-202.64,-202.51,-202.58,-202.58,55.08
153,3.26,-202.80,-202.51,-202.62,-202.56,55.41
154,2.98,-202.95,-202.49,-202.68,-202.70,55.41
155,2.84,-202.82,-202.51,-202.70,-202.74,55.41
156,2.89,-202.86,-202.53,-202.68,-202.71,55.41
157,2.84,-204.90,-202.61,-202.99,-202.66,55.41
158,2.73,-205.05,-202.54,-203.02,-202.77,55.41
159,3.28,-202.87,-202.46,-202.70,-202.74,55.41
160,3.09,-202.85,-202.43,-202.69,-202.73,55.41
161,3.32,-202.70,-202.53,-202.60,-202.59,55.41
162,3.34,-202.83,-202.50,-202.63,-202.62,55.41
163,3.68,-202.93,-202.57,-202.76,-202.78,55.41
164,3.36,-202.88,-202.57,-202.70,-202.65,55.41
165,3.38,-202.75,-202.57,-202.65,-202.65,55.41
166,2.95,-203.02,-202.57,-202.74,-202.73,55.41
167,2.95,-202.81,-202.51,-202.68,-202.70,55.41
168,3.31,-202.88,-202.44,-202.64,-202.65,55.41
169,2.68,-202.67,-202.57,-202.63,-202.63,55.41
170,2.77,-202.87,-202.60,-202.70,-202.69,55.41
171,3.60,-202.97,-202.43,-202.71,-202.68,55.41
172,3.30,-202.91,-202.47,-202.68,-202.65,55.41
173,3.26,-202.88,-202.61,-202.74,-202.75,55.41
174,3.10,-202.79,-202.62,-202.74,-202.78,55.41
175,3.20,-203.00,-202.59,-202.70,-202.67,55.41
176,3.44,-202.95,-202.57,-202.75,-202.71,55.41
177,3.45,-202.91,-202.51,-202.74,-202.75,55.41
178,3.25,-205.09,-202.64,-203.07,-202.74,55.41
179,3.19,-202.89,-202.57,-202.74,-202.75,55.41
180,3.17,-202.80,-202.52,-202.66,-202.64,55.41
181,2.89,-202.93,-202.54,-202.75,-202.81,55.41
182,3.41,-202.82,-202.42,-202.65,-202.67,55.41
183,3.02,-202.89,-202.55,-202.68,-202.67,55.41
184,2.95,-204.84,-202.60,-203.01,-202.70,55.41
185,2.86,-202.74,-202.50,-202.64,-202.66,55.41
186,3.54,-202.89,-202.54,-202.74,-202.74,55.41
187,2.94,-202.76,-202.51,-202.66,-202.69,55.41
188,2.87,-202.91,-202.49,-202.69,-202.64,55.41
189,3.35,-203.05,-202.50,-202.76,-202.78,55.41
190,3.40,-202.95,-202.53,-202.68,-202.62,55.41
191,2.81,-202.88,-202.51,-202.71,-202.69,55.41
192,3.41,-202.75,-202.47,-202.62,-202.59,55.41
193,3.10,-202.77,-202.41,-202.60,-202.68,55.41
194,2.75,-202.86,-202.37,-202.64,-202.63,55.41
195,3.25,-202.78,-202.41,-202.61,-202.64,55.41
196,3.20,-202.69,-202.45,-202.58,-202.55,55.41
197,3.06,-202.93,-202.61,-202.70,-202.64,54.10
198,3.36,-202.86,-202.49,-202.69,-202.69,54.10
199,3.34,-202.94,-202.46,-202.70,-202.74,54.10
200,3.04,-202.98,-202.57,-202.69,-202.62,54.10
201,2.88,-202.74,-202.45,-202.61,-202.61,53.77
202,3.04,-203.03,-202.60,-202.72,-202.66,53.77
203,3.53,-203.03,-202.64,-202.75,-202.70,53.77
204,2.65,-202.88,-202.58,-202.77,-202.76,53.77
205,3.41,-203.00,-202.61,-202.74,-202.70,53.77
206,2.61,-203.07,-202.47,-202.71,-202.74,53.77
207,3.46,-202.86,-202.53,-202.73,-202.74,53.77
208,3.05,-202.87,-202.50,-202.66,-202.64,53.77
209,2.92,-202.79,-202.62,-202.68,-202.66,53.77
210,3.24,-202.94,-202.59,-202.71,-202.65,53.77
211,3.09,-202.82,-202.53,-202.68,-202.68,53.77
212,2.89,-202.95,-202.58,-202.74,-202.71,53.77
213,3.53,-202.71,-202.50,-202.60,-202.60,53.77
214,3.35,-202.72,-202.58,-202.66,-202.68,53.77
215,2.86,-202.85,-202.49,-202.71,-202.75,53.77
216,3.47,-202.86,-202.56,-202.68,-202.60,53.77
217,3.17,-202.81,-202.55,-202.67,-202.69,53.77
218,2.77,-202.82,-202.49,-202.71,-202.78,53.77
219,2.82,-203.04,-202.52,-202.75,-202.73,53.77
220,3.16,-202.90,-202.56,-202.70,-202.64,53.77
221,3.45,-202.80,-202.49,-202.63,-202.61,53.77
222,3.06,-202.76,-202.50,-202.67,-202.70,53.77
223,3.19,-202.82,-202.54,-202.66,-202.64,53.77
224,3.50,-202.74,-202.51,-202.65,-202.67,53.77
225,3.62,-202.86,-202.58,-202.71,-202.72,53.77
226,3.86,-202.81,-202.46,-202.71,-202.75,53.77
227,3.52,-202.85,-202.59,-202.69,-202.69,53.77
228,3.16,-202.98,-202.68,-202.83,-202.79,53.77
229,3.50,-202.73,-202.53,-202.61,-202.60,53.77
230,2.78,-204.65,-202.44,-202.98,-202.69,53.77
231,3.52,-202.79,-202.50,-202.68,-202.77,53.77
232,2.96,-202.92,-202.66,-202.76,-202.77,53.77
233,3.34,-202.82,-202.50,-202.67,-202.70,53.77
234,3.12,-202.79,-202.59,-202.69,-202.66,53.77
235,3.36,-202.81,-202.45,-202.67,-202.68,53.77
236,2.73,-202.75,-202.55,-202.63,-202.62,53.77
237,3.43,-202.85,-202.44,-202.67,-202.69,53.77
238,3.30,-202.82,-202.54,-202.67,-202.68,53.77
239,2.72,-202.78,-202.48,-202.61,-202.62,53.77
240,2.75,-202.84,-202.56,-202.70,-202.71,53.77
241,3.00,-202.93,-202.54,-202.72,-202.69,53.77
242,2.88,-202.80,-202.45,-202.60,-202.59,53.77
243,3.38,-202.87,-202.57,-202.69,-202.64,53.77
244,3.51,-202.84,-202.54,-202.66,-202.62,53.77
245,2.78,-202.82,-202.48,-202.65,-202.67,53.77
246,3.33,-202.84,-202.49,-202.68,-202.71,53.77
247,3.58,-202.84,-202.54,-202.69,-202.66,53.77
248,3.21,-202.81,-202.45,-202.66,-202.67,53.77
249,3.05,-202.82,-202.49,-202.61,-202.61,53.77
250,2.82,-202.96,-202.59,-202.76,-202.72,53.77
251,3.23,-202.82,-202.50,-202.65,-202.61,53.77
252,2.96,-202.87,-202.62,-202.73,-202.71,53.77
253,3.23,-202.86,-202.40,-202.65,-202.65,53.77
254,2.67,-202.76,-202.53,-202.66,-202.67,53.77
255,3.22,-202.86,-202.47,-202.68,-202.66,53.77
256,3.07,-202.85,-202.54,-202.67,-202.69,53.77
257,2.84,-203.02,-202.51,-202.77,-202.79,54.43
258,2.81,-202.89,-202.52,-202.72,-202.71,54.43
259,2.81,-202.86,-202.52,-202.70,-202.68,54.43
260,2.93,-202.91,-202.57,-202.71,-202.71,54.43
261,3.23,-202.94,-202.59,-202.75,-202.66,54.43
262,2.71,-203.04,-202.53,-202.76,-202.78,54.43
263,3.06,-204.93,-202.49,-203.01,-202.72,54.43
264,3.01,-202.70,-202.47,-202.61,-202.62,54.43
265,3.33,-202.85,-202.50,-202.63,-202.59,54.43
266,3.09,-205.23,-202.58,-203.05,-202.71,54.43
267,3.16,-202.78,-202.57,-202.65,-202.59,55.41
268,3.11,-203.01,-202.62,-202.75,-202.70,55.41
269,2.69,-202.80,-202.57,-202.69,-202.74,55.41
270,3.20,-203.00,-202.51,-202.70,-202.66,55.41
271,3.18,-202.86,-202.43,-202.66,-202.66,55.41
272,2.73,-202.91,-202.44,-202.65,-202.65,55.41
273,3.71,-203.05,-202.56,-202.71,-202.63,55.41
274,2.96,-203.03,-202.58,-202.77,-202.82,55.41
275,3.15,-202.80,-202.44,-202.63,-202.62,55.41
276,2.64,-202.92,-202.49,-202.74,-202.79,55.41
277,3.16,-202.80,-202.53,-202.67,-202.66,55.41
278,3.00,-202.77,-202.52,-202.64,-202.65,55.41
279,3.26,-203.03,-202.49,-202.72,-202.73,55.41
280,3.41,-205.09,-202.44,-202.96,-202.66,55.41
281,3.34,-202.77,-202.47,-202.62,-202.63,55.41
282,2.84,-202.84,-202.59,-202.71,-202.67,55.41
283,2.65,-202.82,-202.47,-202.64,-202.67,55.41
284,2.76,-202.82,-202.52,-202.67,-202.66,55.41
285,2.67,-202.95,-202.61,-202.74,-202.73,55.41
286,3.51,-203.14,-202.56,-202.77,-202.76,55.41
287,3.26,-202.85,-202.55,-202.66,-202.59,55.41
288,3.36,-202.87,-202.48,-202.66,-202.73,55.41
289,3.28,-202.82,-202.45,-202.64,-202.65,55.41
290,3.00,-202.79,-202.52,-202.67,-202.73,55.41
291,3.36,-202.80,-202.50,-202.64,-202.65,55.41
