epoch,seconds,min,max,mean,median,percentNodesUsed
0,3.01,-202.73,-202.60,-202.67,-202.68,52.46
1,3.03,-202.74,-202.42,-202.59,-202.58,52.46
2,2.59,-202.93,-202.53,-202.76,-202.74,52.46
3,2.45,-202.89,-202.51,-202.74,-202.74,52.46
4,2.97,-205.06,-202.48,-203.01,-202.75,52.46
5,2.41,-202.77,-202.47,-202.63,-202.65,52.46
6,3.15,-202.78,-202.53,-202.62,-202.58,52.46
7,2.46,-202.85,-202.53,-202.67,-202.67,52.46
8,2.52,-202.76,-202.47,-202.64,-202.63,52.46
9,2.65,-202.85,-202.62,-202.71,-202.68,52.46
10,2.50,-202.88,-202.43,-202.62,-202.57,52.46
11,2.43,-202.81,-202.56,-202.68,-202.64,52.46
12,2.47,-202.74,-202.40,-202.58,-202.62,52.46
13,2.44,-202.88,-202.50,-202.69,-202.68,52.46
14,2.47,-202.85,-202.57,-202.71,-202.71,52.46
15,2.48,-202.90,-202.51,-202.69,-202.67,52.46
16,2.48,-203.03,-202.58,-202.76,-202.70,52.46
17,2.46,-202.70,-202.53,-202.60,-202.57,52.46
18,2.58,-202.80,-202.55,-202.71,-202.75,52.46
19,3.12,-202.96,-202.53,-202.76,-202.77,52.46
20,3.03,-202.96,-202.48,-202.74,-202.71,52.46
21,3.24,-202.92,-202.67,-202.80,-202.82,52.46
22,2.43,-202.94,-202.58,-202.75,-202.70,52.46
23,2.93,-202.91,-202.53,-202.72,-202.69,52.46
24,2.50,-202.88,-202.66,-202.77,-202.77,52.46
25,2.45,-202.77,-202.60,-202.69,-202.68,52.46
26,3.20,-205.03,-202.53,-202.97,-202.68,52.46
27,2.46,-202.91,-202.51,-202.65,-202.59,52.46
28,3.44,-204.77,-202.50,-203.01,-202.81,52.46
29,3.07,-202.79,-202.60,-202.71,-202.71,52.46
30,2.44,-203.09,-202.57,-202.74,-202.67,52.46
31,3.01,-204.82,-202.64,-203.34,-202.79,52.46
32,3.09,-202.87,-202.65,-202.78,-202.79,52.46
33,2.41,-202.91,-202.56,-202.76,-202.81,52.46
34,3.06,-202.93,-202.56,-202.72,-202.70,52.46
35,2.92,-202.66,-202.57,-202.63,-202.63,52.46
36,2.50,-202.78,-202.63,-202.68,-202.66,52.46
37,3.43,-202.82,-202.54,-202.67,-202.70,52.46
