epoch,seconds,min,max,mean,median,percentNodesUsed
0,3.41,-202.91,-202.57,-202.69,-202.61,59.02
1,3.05,-202.76,-202.52,-202.64,-202.63,59.02
2,3.50,-203.01,-202.55,-202.77,-202.74,59.02
3,2.96,-202.95,-202.56,-202.78,-202.80,59.02
4,3.69,-203.15,-202.60,-202.75,-202.70,58.69
5,3.47,-204.70,-202.51,-202.95,-202.75,58.69
6,3.24,-202.78,-202.53,-202.65,-202.66,58.69
7,3.48,-202.86,-202.47,-202.65,-202.68,58.69
8,3.53,-202.79,-202.54,-202.66,-202.68,58.69
9,3.21,-202.96,-202.54,-202.68,-202.59,58.69
10,3.06,-204.77,-202.45,-202.94,-202.70,58.69
11,3.28,-202.95,-202.60,-202.70,-202.64,58.69
12,2.86,-202.82,-202.57,-202.65,-202.62,58.69
13,3.40,-202.95,-202.45,-202.64,-202.59,58.69
14,3.58,-202.83,-202.43,-202.68,-202.69,58.69
15,3.41,-202.81,-202.53,-202.68,-202.69,58.69
16,3.51,-202.79,-202.59,-202.70,-202.71,58.69
17,3.50,-202.92,-202.55,-202.68,-202.67,58.69
18,3.40,-202.77,-202.55,-202.66,-202.66,58.69
19,3.55,-202.69,-202.49,-202.58,-202.56,58.69
20,2.92,-202.94,-202.50,-202.74,-202.75,58.69
21,3.26,-202.92,-202.56,-202.69,-202.69,58.69
22,3.00,-202.85,-202.55,-202.66,-202.63,58.69
23,4.02,-202.74,-202.54,-202.67,-202.67,58.69
24,4.54,-202.76,-202.53,-202.66,-202.67,58.69
25,9.59,-202.79,-202.62,-202.70,-202.70,58.69
26,3.94,-202.87,-202.55,-202.74,-202.75,58.69
27,10.43,-202.87,-202.61,-202.72,-202.67,58.69
28,8.70,-202.91,-202.55,-202.72,-202.69,58.69
29,8.26,-202.94,-202.45,-202.69,-202.67,58.69
30,3.52,-202.94,-202.54,-202.67,-202.65,58.69
31,3.03,-202.84,-202.46,-202.65,-202.69,58.69
