epoch,seconds,min,max,mean,median,percentNodesUsed
0,3.47,-204.81,-204.62,-204.70,-204.70,52.79
1,3.33,-204.83,-204.61,-204.73,-204.76,52.79
2,2.95,-204.74,-204.65,-204.70,-204.71,52.79
3,3.11,-204.81,-204.68,-204.75,-204.74,52.79
4,3.16,-204.84,-204.71,-204.77,-204.75,52.79
5,3.10,-204.88,-204.70,-204.78,-204.78,52.79
6,3.00,-204.86,-204.67,-204.77,-204.79,52.79
7,3.56,-204.80,-204.66,-204.74,-204.76,52.79
8,3.01,-204.80,-204.68,-204.74,-204.74,52.79
9,3.06,-204.88,-202.90,-204.51,-204.76,50.49
10,3.20,-202.85,-202.49,-202.64,-202.62,50.49
11,2.94,-202.87,-202.52,-202.64,-202.59,50.49
12,2.89,-202.93,-202.58,-202.73,-202.72,50.49
13,2.77,-202.75,-202.43,-202.58,-202.59,50.49
14,3.22,-202.91,-202.51,-202.67,-202.64,50.49
15,2.87,-202.77,-202.58,-202.67,-202.68,50.49
16,3.40,-202.94,-202.56,-202.77,-202.74,50.49
17,3.15,-202.80,-202.53,-202.70,-202.72,50.49
18,3.34,-202.87,-202.54,-202.68,-202.63,50.49
19,3.10,-202.94,-202.49,-202.72,-202.73,50.49
20,3.36,-202.86,-202.60,-202.72,-202.74,50.49
21,11.59,-203.01,-202.53,-202.71,-202.58,50.49
22,3.22,-202.77,-202.46,-202.63,-202.63,50.49
23,3.47,-202.87,-202.40,-202.74,-202.76,50.49
24,3.40,-202.92,-202.55,-202.69,-202.63,50.49
25,3.34,-202.85,-202.57,-202.71,-202.71,50.49
26,3.50,-203.03,-202.46,-202.71,-202.67,50.49
27,3.21,-202.74,-202.57,-202.66,-202.66,50.49
28,3.19,-204.72,-202.51,-202.98,-202.71,50.49
29,3.22,-202.96,-202.50,-202.66,-202.62,50.49
30,3.66,-202.83,-202.54,-202.66,-202.68,50.49
31,3.38,-202.89,-202.52,-202.70,-202.71,50.49
32,3.46,-203.09,-202.65,-202.82,-202.77,50.49
33,3.33,-202.72,-202.32,-202.61,-202.64,50.49
34,2.97,-202.91,-202.61,-202.70,-202.66,50.49
35,3.45,-202.86,-202.58,-202.68,-202.65,50.49
36,3.05,-203.02,-202.60,-202.76,-202.73,50.49
37,3.54,-202.96,-202.51,-202.69,-202.67,50.49
38,3.31,-202.97,-202.68,-202.78,-202.71,50.49
39,3.59,-202.88,-202.53,-202.70,-202.68,50.49
40,3.58,-202.88,-202.48,-202.69,-202.70,50.49
41,3.37,-202.73,-202.54,-202.63,-202.62,50.49
42,3.61,-202.80,-202.59,-202.70,-202.70,50.49
43,4.08,-202.83,-202.60,-202.70,-202.69,50.49
44,3.77,-202.90,-202.60,-202.72,-202.69,50.49
45,3.17,-202.82,-202.65,-202.71,-202.71,50.49
46,2.94,-203.01,-202.53,-202.75,-202.71,50.49
47,3.06,-202.79,-202.46,-202.65,-202.68,50.49
48,3.41,-202.89,-202.50,-202.67,-202.68,50.49
49,3.56,-202.87,-202.57,-202.71,-202.75,51.15
50,3.14,-202.85,-202.48,-202.66,-202.67,51.15
51,3.50,-202.99,-202.65,-202.79,-202.77,51.15
