epoch,seconds,min,max,mean,median,percentNodesUsed
0,0.60,24.00,34.00,27.13,26.50,39.87
1,0.69,10.00,37.50,30.57,32.50,39.87
2,0.85,32.00,37.50,34.21,33.50,39.87
3,0.61,9.50,39.50,31.57,35.00,39.87
4,0.68,9.00,36.00,30.57,33.50,39.87
5,0.77,9.00,40.00,31.71,35.00,39.87
6,0.78,11.00,37.50,30.57,32.50,39.87
7,0.79,31.50,39.00,34.00,33.50,39.87
8,0.76,33.50,37.50,35.29,36.00,39.87
9,0.67,15.88,38.00,33.13,35.50,39.87
10,0.68,30.50,39.00,33.64,33.00,39.87
11,0.88,31.00,40.00,35.14,34.50,39.87
12,0.74,28.00,36.00,33.00,34.00,39.87
13,0.98,29.50,38.00,34.43,36.00,39.87
14,0.79,33.50,72.00,41.36,36.00,24.84
15,1.02,38.00,149.00,74.57,68.50,24.84
16,1.30,122.50,152.00,144.29,147.00,24.84
17,1.31,113.50,150.00,140.29,143.50,24.84
18,1.37,91.00,147.00,136.64,145.00,24.84
19,1.27,64.00,154.00,137.29,148.00,24.84
20,1.46,144.50,150.50,148.00,148.50,24.84
21,1.29,147.50,154.50,149.86,149.00,24.84
22,1.27,145.00,151.50,148.21,149.00,24.84
23,1.29,9.00,154.50,130.43,150.00,24.84
24,1.75,39.96,153.00,129.85,147.50,24.84
25,1.28,146.50,151.00,148.21,147.50,24.84
26,1.27,146.00,152.50,148.64,149.50,24.84
27,1.15,9.00,151.50,118.94,145.50,24.84
28,1.17,23.04,152.50,129.22,146.00,25.49
29,1.19,9.00,153.00,108.92,144.00,25.49
30,1.74,143.00,199.00,153.79,146.50,25.49
31,2.30,187.50,248.50,206.07,199.50,25.49
32,2.92,215.00,472.88,267.05,221.00,25.49
33,3.20,9.00,487.24,345.23,472.82,25.49
34,3.72,113.00,487.46,427.82,479.08,25.49
35,4.29,146.00,478.34,428.69,477.30,25.49
36,4.17,455.76,482.24,470.62,474.34,25.49
37,4.13,82.48,480.32,417.68,473.78,25.49
38,3.99,154.50,480.80,430.73,477.20,25.49
39,3.46,14.36,489.22,412.89,480.08,25.49
40,3.68,157.50,483.82,423.93,472.70,25.49
41,3.85,36.00,481.32,412.89,474.34,25.49
42,3.94,9.38,490.84,364.28,475.66,25.49
43,3.99,178.00,495.74,442.93,487.58,25.49
44,4.33,467.00,495.60,483.89,489.48,25.49
45,4.00,9.00,491.66,415.09,484.58,25.49
46,3.94,247.00,487.90,447.37,480.64,25.49
47,3.86,107.06,483.12,424.63,477.42,25.49
48,3.76,28.76,488.06,420.02,485.18,25.49
49,3.39,31.40,491.26,420.08,482.62,25.49
50,3.66,15.84,494.92,419.62,483.90,25.49
51,3.09,33.90,490.88,345.06,479.68,25.49
52,3.35,108.00,487.50,353.93,484.42,25.49
53,4.00,147.00,500.00,437.04,484.14,25.49
