epoch,seconds,min,max,mean,median,percentNodesUsed
0,0.62,12.50,13.84,13.28,13.36,67.65
1,0.55,12.00,13.72,13.11,13.00,67.65
2,0.57,12.00,13.62,13.03,13.00,67.65
3,0.63,12.50,13.54,13.11,13.00,67.65
4,0.62,13.00,13.74,13.11,13.00,67.65
5,0.60,12.50,13.44,12.96,13.00,67.65
6,0.57,12.00,13.68,13.21,13.50,67.65
7,0.56,12.00,13.60,12.93,13.00,67.65
8,0.55,13.00,13.56,13.13,13.00,67.65
9,0.58,12.00,13.38,13.00,13.00,67.65
10,0.57,13.00,15.92,13.58,13.00,67.65
11,0.59,15.00,15.66,15.26,15.28,67.65
12,0.70,14.80,38.00,18.31,15.00,40.52
13,0.83,36.50,44.00,39.57,38.00,40.52
14,0.90,37.50,42.00,39.07,38.00,40.52
15,0.78,34.00,42.34,37.00,37.50,40.52
16,0.80,35.00,41.00,37.93,38.50,40.52
17,0.99,34.00,42.00,38.21,39.00,40.52
18,0.92,34.00,42.50,38.50,40.00,40.52
19,0.76,9.56,42.00,32.58,35.50,40.52
20,0.80,9.98,41.90,34.13,37.00,40.52
21,0.88,33.50,42.00,38.56,39.50,40.52
22,0.84,34.00,43.00,38.93,38.50,40.52
23,1.21,36.00,42.50,39.47,39.50,40.52
24,1.13,35.50,42.00,38.97,40.00,40.52
25,0.87,33.00,40.00,37.25,37.50,40.52
26,1.07,9.00,42.00,33.64,37.00,40.52
27,0.84,34.00,38.00,36.93,37.50,40.52
28,0.96,25.00,42.00,36.29,37.50,40.52
29,0.84,23.50,41.50,35.79,36.50,40.52
30,1.24,36.00,46.00,39.86,39.50,40.52
31,0.89,37.00,43.50,39.79,40.00,40.52
32,1.10,36.50,41.50,38.93,38.50,40.52
33,1.31,35.00,43.00,38.07,37.00,40.85
34,0.91,33.50,41.50,37.21,37.50,40.85
35,0.87,36.00,43.50,39.14,39.00,40.85
36,0.90,35.00,43.50,39.99,41.00,40.85
37,1.05,37.00,45.50,40.30,38.00,40.85
38,0.83,9.50,42.50,34.50,39.00,40.85
39,1.04,35.50,44.00,39.93,40.56,40.85
40,1.74,34.00,42.00,37.21,36.50,40.85
41,1.76,32.00,39.00,36.00,35.50,40.85
