epoch,seconds,min,max,mean,median,percentNodesUsed
0,0.19,9.00,9.80,9.37,9.50,27.78
1,0.27,9.00,9.68,9.51,9.58,27.78
2,0.31,9.00,9.82,9.55,9.62,27.78
3,0.33,9.00,9.88,9.57,9.68,27.78
4,0.33,9.00,10.00,9.64,9.72,27.78
5,0.37,9.00,10.00,9.86,10.00,27.78
6,0.32,9.92,10.00,9.98,10.00,27.78
7,0.41,9.88,19.50,11.33,10.00,27.78
8,0.39,9.00,22.00,18.45,20.00,28.10
9,0.32,19.50,22.00,20.84,21.00,28.10
10,0.31,19.50,23.00,20.71,20.50,28.10
11,0.26,9.00,22.08,19.22,20.50,28.10
12,0.27,9.42,21.00,18.49,20.00,28.10
13,0.27,19.00,22.44,20.28,20.00,28.10
14,0.37,19.50,22.86,20.98,21.00,28.10
15,0.34,20.00,21.50,20.79,21.00,28.10
16,0.38,9.68,29.50,20.81,21.00,28.10
17,0.56,28.50,35.00,31.14,30.50,28.10
18,0.38,9.50,35.50,29.43,31.50,28.10
19,0.41,29.00,33.00,31.50,32.00,28.10
20,0.44,16.50,37.00,29.57,30.50,28.10
21,0.32,9.00,31.00,20.15,16.50,28.10
22,0.47,29.00,35.50,31.36,30.50,28.10
23,0.41,23.50,34.50,29.79,30.00,28.10
24,0.42,10.00,32.50,27.79,30.50,28.10
25,0.36,9.00,34.00,28.21,30.50,28.10
26,0.38,28.00,37.50,31.71,31.00,28.10
27,0.45,36.00,41.00,38.29,38.50,28.10
28,0.46,9.38,42.50,35.05,38.50,28.10
29,0.39,9.60,38.00,33.23,37.00,28.10
30,0.47,36.00,39.50,37.79,38.00,28.10
31,0.48,10.50,48.00,35.50,38.00,28.10
32,0.60,10.00,52.00,44.14,49.50,28.10
33,0.58,47.00,50.00,49.07,49.50,28.10
34,0.64,48.00,52.50,50.43,51.00,28.10
35,0.70,9.00,50.00,41.21,48.00,28.10
36,0.70,41.50,49.00,47.07,48.00,28.10
37,0.74,47.00,50.00,48.43,48.00,28.10
38,0.88,47.00,53.50,49.86,49.00,28.10
39,0.73,9.00,51.50,43.50,49.00,28.10
40,0.79,47.00,51.50,49.00,49.50,28.10
41,0.54,9.00,51.00,43.07,48.50,28.10
42,0.69,47.50,72.00,51.64,48.50,28.10
43,0.86,29.70,78.50,65.53,74.00,28.10
44,1.00,11.00,95.50,71.64,77.50,28.10
45,0.93,56.50,83.50,75.93,79.00,28.10
46,0.85,11.00,88.50,68.36,77.00,28.10
47,0.79,72.00,81.00,77.29,76.50,28.10
48,0.82,74.00,84.00,79.57,80.00,28.10
49,1.67,68.50,120.50,80.86,75.50,28.10
50,2.39,46.50,333.96,218.79,316.90,28.10
51,2.16,9.50,324.34,203.75,292.14,28.10
52,2.73,89.00,386.82,204.95,146.00,28.10
53,2.60,98.50,348.64,261.40,308.14,28.10
54,2.63,9.00,364.76,275.22,311.06,28.10
55,2.52,9.00,348.96,215.34,293.10,28.10
56,2.74,9.00,355.22,282.89,328.34,28.10
57,2.64,59.00,357.64,288.34,309.04,28.10
58,2.88,95.00,344.06,239.83,315.86,28.10
59,3.01,329.50,398.56,357.39,355.66,28.10
60,2.95,132.00,397.10,321.56,355.90,28.10
61,2.99,337.04,382.48,361.08,369.12,28.10
62,2.93,293.70,388.62,349.59,353.46,28.10
63,3.38,347.76,432.88,381.20,372.52,28.10
64,3.21,328.32,392.60,361.13,363.64,27.78
65,3.13,45.50,422.78,322.81,353.18,27.78
66,3.38,332.28,423.82,374.49,365.20,27.78
67,3.03,336.12,388.50,369.91,381.24,27.78
68,2.95,31.00,401.36,326.53,381.56,27.78
69,3.12,303.08,427.06,355.59,346.68,27.78
70,2.78,9.00,398.72,273.02,363.16,27.78
71,2.77,65.00,414.22,278.19,318.64,27.78
72,3.26,339.98,391.40,360.26,354.88,27.78
73,3.20,119.50,389.02,326.61,358.54,27.78
74,3.31,342.92,390.52,366.45,367.68,27.78
75,2.57,9.00,399.56,263.02,319.60,27.78
76,3.09,315.48,398.98,356.88,357.32,27.78
77,2.91,76.00,417.78,335.03,372.36,27.78
78,3.28,338.60,398.90,376.97,381.54,27.78
79,3.11,285.24,431.98,367.17,379.00,27.78
80,3.02,347.46,405.96,371.95,373.04,27.78
81,2.93,29.76,399.12,314.26,364.48,27.78
82,3.14,9.32,431.76,322.69,382.16,27.78
83,3.84,87.00,488.32,344.39,370.28,27.78
84,4.20,474.96,492.32,484.31,485.72,27.78
85,3.88,181.00,500.00,444.08,490.54,27.78
