epoch,seconds,min,max,mean,median,percentNodesUsed
0,0.53,12.00,13.00,12.40,12.50,54.58
1,0.52,9.76,13.00,11.97,12.00,54.58
2,0.55,12.00,13.18,12.70,12.82,54.58
3,0.51,12.50,13.00,12.84,12.94,54.58
4,0.56,12.00,13.00,12.68,12.94,54.58
5,0.64,12.00,12.98,12.68,12.78,54.58
6,0.59,12.00,13.00,12.45,12.42,56.54
7,0.53,12.00,13.38,12.59,12.84,54.58
8,0.50,12.00,13.00,12.43,12.50,54.58
9,0.57,12.00,13.00,12.69,12.96,54.58
10,0.54,12.00,13.40,12.60,12.50,54.58
11,0.51,12.00,13.00,12.68,12.98,54.58
12,0.54,12.50,13.00,12.91,13.00,54.58
13,0.71,9.00,30.00,13.85,12.00,54.58
14,0.90,27.00,34.50,30.14,30.00,54.58
15,0.93,9.00,33.50,28.21,31.00,53.27
16,0.89,30.00,33.50,31.71,31.00,53.27
17,0.90,29.00,32.00,30.43,30.50,53.27
18,0.89,26.50,32.50,29.93,30.00,53.27
19,0.88,28.00,31.50,29.29,29.00,53.27
20,1.06,27.00,33.00,30.07,30.00,53.27
21,0.96,29.50,32.50,31.29,31.00,53.27
22,0.81,9.36,32.50,27.12,30.00,53.27
23,0.98,29.00,42.50,31.86,29.50,53.27
24,1.07,39.00,44.00,41.29,41.00,53.27
25,1.10,24.00,48.50,38.71,39.00,53.27
26,1.19,36.50,46.50,41.07,40.50,53.27
27,1.25,38.00,46.00,41.43,40.00,53.27
28,1.38,40.50,47.00,43.71,44.00,53.27
29,1.33,43.00,47.50,44.71,43.50,53.27
30,1.44,33.50,48.50,43.21,45.50,53.27
31,1.30,37.50,48.00,41.50,40.50,53.27
32,0.93,42.00,48.50,45.07,45.00,53.27
33,0.95,9.00,49.00,39.07,43.50,53.27
34,1.04,33.50,46.50,42.21,45.50,53.27
35,1.57,43.00,60.00,46.36,43.50,53.27
36,1.53,54.50,66.00,60.57,60.00,53.27
37,1.70,59.00,73.00,62.71,60.50,53.27
38,1.96,56.50,70.00,64.29,67.00,53.27
39,1.98,56.00,74.50,66.43,66.00,53.27
40,1.72,63.00,75.00,69.29,67.50,53.27
41,1.71,59.00,70.00,63.79,63.50,53.27
42,1.78,54.00,73.50,63.36,62.50,53.27
43,1.82,54.00,64.50,60.21,60.00,53.27
44,1.82,36.00,65.00,56.93,60.00,53.27
45,1.90,35.00,71.00,58.86,61.00,53.27
46,1.82,56.50,78.50,66.00,66.00,53.27
47,2.01,9.00,75.00,58.21,62.50,53.27
48,1.97,54.00,96.50,65.57,61.00,53.27
49,1.71,37.50,84.00,59.43,60.00,53.27
50,2.06,55.00,74.50,64.00,62.00,53.27
51,2.02,60.00,82.00,67.29,66.50,53.27
52,1.96,45.00,73.00,61.79,63.00,53.27
53,1.96,56.00,69.50,63.50,65.50,53.27
54,2.03,56.00,68.00,60.57,59.00,53.27
55,1.71,52.00,77.00,63.43,63.50,53.27
56,1.86,59.00,78.50,70.86,73.00,53.27
57,2.02,56.50,75.50,63.14,62.50,53.27
58,1.93,55.50,69.00,64.14,66.50,53.27
59,2.05,51.50,75.00,63.64,64.50,53.27
60,2.42,53.00,77.00,62.21,58.50,53.27
61,1.81,33.00,78.50,58.50,62.00,53.27
62,2.07,57.50,69.00,61.50,61.50,53.27
63,12.97,22.00,107.00,71.29,71.50,53.27
