epoch,seconds,min,max,mean,median,percentNodesUsed
0,1.22,29.50,37.00,34.07,34.50,57.84
1,1.17,9.38,39.50,31.20,35.00,56.54
2,1.06,9.46,37.50,31.35,35.00,56.54
3,1.19,32.00,43.00,36.21,34.50,56.54
4,1.09,32.00,39.00,35.43,36.50,56.54
5,1.04,32.50,40.00,35.93,35.00,56.54
6,1.60,39.00,45.00,42.64,42.00,56.54
7,1.18,38.50,42.00,40.43,40.00,56.54
8,1.43,37.50,43.50,41.57,43.00,56.54
9,1.29,38.00,44.50,40.86,41.00,56.54
10,1.52,35.00,49.50,41.93,41.50,56.54
11,1.41,39.00,46.00,42.14,43.00,56.54
12,1.45,37.00,42.50,39.71,38.50,56.54
13,1.30,33.00,49.50,41.29,42.50,56.54
14,1.88,37.00,60.50,53.50,56.00,56.54
15,1.70,48.00,58.00,53.79,55.50,56.54
16,1.69,50.00,61.00,53.36,51.50,56.54
17,1.75,49.50,61.00,54.00,52.00,56.54
18,1.53,9.00,56.00,47.29,53.50,56.54
19,1.57,36.00,58.50,50.00,51.50,56.54
20,1.88,48.00,63.50,53.79,51.00,56.54
21,1.68,45.00,61.50,52.36,53.00,56.54
22,1.77,49.50,61.50,55.50,55.50,56.54
23,1.66,49.50,69.00,54.86,53.00,56.54
24,1.19,48.00,60.50,53.76,52.50,56.54
25,1.25,47.50,58.00,52.57,52.00,56.54
26,1.11,45.00,58.00,52.14,52.50,56.54
27,1.34,41.50,59.00,51.71,51.50,56.54
28,1.26,50.00,57.00,53.79,54.00,60.46
29,1.14,45.00,55.50,51.36,51.50,60.46
30,1.25,47.50,62.00,53.21,51.00,60.46
31,1.35,9.46,63.00,46.92,48.00,60.46
32,1.45,49.50,60.50,52.50,51.50,60.46
33,1.30,47.50,59.50,53.43,52.50,60.46
34,1.70,43.00,55.00,50.36,50.00,60.46
35,1.48,46.50,59.00,54.71,57.00,60.46
36,1.59,50.00,58.50,52.79,52.00,60.46
37,1.51,49.50,58.00,54.21,53.50,60.46
38,1.46,43.50,55.00,48.43,46.50,60.46
39,1.49,52.50,67.00,58.14,57.00,60.46
40,1.39,50.00,60.50,53.86,52.00,60.46
41,1.33,51.00,60.00,54.50,53.50,60.46
42,1.62,48.50,58.00,53.36,53.50,60.46
43,1.39,49.00,55.00,53.14,54.00,60.46
44,1.59,50.50,56.50,53.86,54.00,60.46
45,1.43,49.50,57.00,52.14,51.50,60.46
46,1.29,36.00,58.50,52.21,56.50,60.46
47,1.38,48.50,59.00,53.21,53.50,60.46
48,1.40,47.00,64.50,56.00,54.50,60.46
49,1.44,49.00,60.50,52.86,52.00,60.46
50,1.76,51.00,63.00,56.71,57.00,60.46
51,1.30,49.00,58.00,52.57,50.50,60.46
52,1.39,45.00,58.00,53.00,54.50,60.46
53,1.44,46.50,54.50,50.00,49.00,60.46
54,1.38,41.00,59.00,51.07,51.50,60.46
55,1.53,48.00,55.50,51.36,52.00,60.46
56,1.61,50.50,60.00,55.07,56.00,60.46
57,1.69,48.50,62.00,52.29,50.50,60.46
58,1.81,49.00,62.50,54.14,53.50,60.46
59,1.53,43.50,59.50,53.86,55.00,60.46
60,1.69,48.50,63.00,55.29,57.00,60.46
61,1.64,49.50,61.50,55.14,56.50,60.46
62,1.39,49.00,62.50,55.07,54.00,60.46
63,1.45,49.00,59.00,53.21,52.50,60.46
64,1.31,9.00,54.00,45.07,50.00,60.46
65,1.48,42.00,56.50,51.29,51.00,60.46
66,1.50,50.00,62.00,55.57,55.00,60.46
67,1.53,48.00,56.00,53.00,53.00,60.46
68,1.47,48.00,57.00,53.43,54.00,60.46
69,1.28,23.00,64.00,46.93,48.00,60.46
70,1.43,51.50,57.00,53.29,52.50,60.46
71,1.59,51.00,59.00,56.00,57.00,60.46
72,1.54,51.00,58.00,53.86,53.50,60.46
73,1.51,50.50,60.50,53.43,52.00,60.46
74,1.61,48.50,63.00,54.93,55.00,60.46
75,1.56,46.50,56.00,52.00,52.50,60.46
76,1.36,46.50,56.00,51.21,51.00,60.46
77,1.52,47.00,55.50,51.79,52.00,60.46
78,1.69,32.00,59.50,51.14,53.00,60.46
79,1.60,44.50,56.00,49.64,49.00,60.46
80,1.72,47.00,55.00,50.36,49.50,60.46
81,1.56,47.00,61.00,53.71,52.50,60.46
82,1.63,44.50,55.00,50.00,47.50,60.46
83,1.54,42.50,56.00,50.57,51.00,60.46
84,1.69,46.50,58.50,50.36,50.50,60.46
85,1.24,12.66,54.50,40.74,45.00,60.46
86,1.66,46.00,55.00,49.86,48.50,60.46
87,1.47,43.00,55.50,49.00,48.50,60.46
88,1.59,49.50,61.50,52.64,50.00,60.46
89,1.54,47.00,57.28,51.11,50.50,60.46
90,1.52,45.00,56.50,50.93,50.00,60.46
91,1.37,44.50,52.50,47.93,47.50,60.46
92,1.57,46.00,58.50,52.21,51.50,60.46
93,1.48,49.00,58.00,52.64,50.50,60.46
94,1.59,46.00,58.00,50.29,49.00,60.46
95,1.58,48.00,55.50,52.14,54.00,60.46
96,1.67,49.00,55.00,52.00,52.50,60.46
97,1.53,45.50,57.00,50.79,49.00,60.46
98,1.73,46.00,55.50,51.14,52.00,60.46
99,1.63,47.00,57.50,50.36,49.00,60.46
100,1.53,43.00,57.00,50.71,50.00,60.46
101,1.54,43.00,54.00,48.00,47.50,60.46
102,1.56,39.50,55.50,50.43,52.50,60.78
103,1.59,46.00,59.50,51.71,50.00,60.78
104,1.55,34.00,55.00,48.00,48.00,60.78
105,1.77,44.00,55.50,50.50,49.00,60.78
106,1.55,46.00,51.00,48.71,49.00,60.78
107,1.45,9.00,55.00,44.93,51.00,60.78
108,1.63,47.00,53.50,50.07,51.00,60.78
109,1.58,36.00,60.00,51.50,53.00,60.78
110,1.57,51.50,59.00,54.07,53.00,60.78
111,1.59,9.00,54.00,43.43,47.50,60.78
112,1.58,43.50,57.00,48.64,46.00,60.78
113,1.61,50.00,57.50,52.57,51.00,60.78
114,1.62,47.50,57.00,52.29,52.50,60.78
115,1.68,49.00,53.50,51.43,51.50,60.78
116,1.84,44.00,56.50,49.71,50.00,60.78
117,1.54,43.00,54.50,49.07,49.00,60.78
118,1.64,29.50,60.00,48.93,51.00,60.78
119,1.72,50.00,54.00,51.36,51.00,60.78
120,1.82,47.00,60.50,52.93,52.00,60.78
121,1.71,49.50,59.00,54.57,54.50,60.78
122,1.76,49.50,63.00,54.86,53.00,60.78
123,1.85,45.00,58.00,52.64,52.00,60.78
124,1.80,51.50,56.50,53.50,53.00,60.78
125,1.82,51.50,58.00,54.07,53.50,60.78
126,1.82,9.00,62.50,48.64,55.00,60.78
127,1.93,48.50,61.00,52.93,51.50,60.78
128,1.65,49.00,60.00,52.86,52.00,60.78
129,1.72,47.00,59.00,53.50,52.00,60.78
130,1.83,47.00,52.50,50.57,51.50,60.78
131,1.59,45.00,55.00,50.64,53.00,60.78
132,1.71,47.50,53.50,49.86,49.00,60.78
133,1.60,49.00,56.00,53.14,52.50,60.78
134,1.52,43.00,56.00,50.14,51.00,60.78
135,1.54,9.64,54.50,45.38,51.00,60.78
136,1.59,47.00,56.00,51.00,51.50,60.78
137,1.72,9.00,54.50,45.79,51.50,60.78
138,1.55,47.00,56.50,51.21,50.50,60.78
139,1.58,42.00,54.00,49.36,50.00,60.78
140,1.79,45.00,58.00,50.71,50.00,60.78
141,1.64,44.50,57.50,51.14,51.00,60.78
142,1.67,40.00,50.00,47.14,48.00,60.78
143,1.53,46.00,57.50,50.36,50.00,60.78
144,1.46,36.00,54.00,47.21,48.50,60.78
145,1.56,48.50,58.50,52.79,52.50,60.78
146,1.45,45.00,55.00,50.21,50.50,60.78
147,1.52,39.50,60.00,50.50,51.50,60.78
148,1.62,44.50,54.50,50.07,50.50,60.78
149,1.71,46.50,58.50,51.00,49.00,60.78
150,1.55,44.50,55.50,49.86,50.00,60.78
151,1.73,46.00,58.50,51.50,50.00,60.78
152,1.56,46.00,51.00,49.29,49.00,60.78
153,1.81,42.00,57.00,49.71,49.50,60.78
154,1.66,47.00,58.50,52.43,53.50,60.78
155,1.68,49.50,59.00,52.57,51.00,60.78
156,2.22,46.50,55.50,49.86,49.00,60.78
157,1.52,45.00,54.50,50.86,51.50,60.78
158,1.60,46.50,54.50,49.57,49.50,60.78
159,1.65,37.00,55.00,48.71,49.50,60.78
160,1.67,46.00,53.50,50.21,50.50,60.78
161,1.68,47.50,53.50,49.50,49.00,60.78
162,1.86,45.50,59.50,53.21,54.00,60.78
163,1.87,42.50,64.00,49.29,47.00,60.78
164,1.52,40.00,56.00,49.21,49.50,60.78
165,1.50,9.70,61.00,44.24,47.50,60.78
166,1.93,49.00,60.00,52.57,52.50,60.78
167,1.99,47.50,57.00,52.29,51.00,60.78
168,1.76,52.00,56.00,53.43,53.00,60.78
169,1.88,49.00,55.00,50.79,50.00,60.78
170,2.22,49.00,57.50,53.79,55.50,60.78
171,1.71,44.00,53.50,49.64,50.00,60.78
172,1.67,23.50,59.00,48.14,49.50,60.78
173,1.56,46.50,55.00,50.14,48.50,60.78
174,1.79,50.50,59.00,54.79,54.50,60.78
175,1.70,45.00,54.00,51.00,51.50,60.78
176,1.91,53.50,61.00,57.14,58.00,60.78
177,1.80,47.00,57.00,54.07,55.50,60.78
178,1.67,45.00,57.00,52.93,55.00,60.78
179,1.75,49.00,66.00,55.07,53.00,60.78
180,1.86,46.00,57.50,51.71,51.50,60.78
181,1.77,38.00,59.50,52.57,53.50,60.78
182,1.69,47.50,57.00,52.00,52.00,60.78
183,1.71,36.00,59.00,51.71,53.50,60.78
184,1.89,48.50,61.50,54.43,53.50,60.78
185,1.69,9.00,59.00,45.79,50.00,60.78
186,1.57,10.78,56.50,47.33,53.50,60.78
187,1.82,45.50,56.00,51.57,52.00,60.78
188,1.84,47.00,59.50,51.29,50.00,60.78
189,1.77,49.00,60.50,54.43,55.00,60.78
190,1.52,9.00,60.50,46.29,52.50,60.78
191,1.73,49.50,59.50,55.21,56.00,60.78
192,1.72,51.50,57.00,54.07,54.00,60.78
193,1.72,48.50,60.50,54.64,56.00,60.78
194,1.66,50.50,58.00,53.57,53.00,60.78
195,1.62,44.50,51.00,47.79,48.00,60.78
196,1.60,46.50,59.00,53.57,54.50,60.78
197,1.66,40.84,63.00,51.33,52.50,61.44
198,1.60,46.00,56.50,51.92,51.00,61.44
199,1.63,44.00,61.00,52.50,51.00,61.44
200,2.00,49.00,62.00,53.07,52.50,61.44
201,1.81,44.50,55.50,50.57,51.50,61.44
202,1.68,45.50,56.50,51.79,51.00,61.44
203,1.71,40.00,57.50,49.64,50.00,61.44
204,1.68,31.00,58.50,50.07,53.00,61.44
205,1.74,48.50,61.00,54.00,53.00,61.44
206,1.67,47.00,62.00,50.93,50.50,61.76
207,1.74,47.00,58.50,52.79,52.50,61.76
208,1.68,45.00,55.50,51.36,51.50,61.76
209,1.83,48.00,56.50,52.57,53.00,61.76
210,1.72,46.50,55.50,50.21,49.00,61.76
211,1.93,51.00,62.50,55.79,54.50,61.76
212,2.13,46.00,61.00,52.50,52.50,61.76
213,2.22,48.00,57.00,53.36,54.00,61.76
214,2.27,49.50,55.00,52.64,53.00,61.76
215,1.84,41.50,58.00,50.86,50.50,61.76
216,1.63,50.50,57.00,52.79,52.50,61.76
217,2.13,49.50,55.00,52.00,51.50,61.76
218,1.63,48.50,55.50,51.86,52.50,61.76
219,1.70,47.00,56.00,50.64,50.50,61.76
220,1.62,46.00,57.00,50.93,51.50,61.76
221,1.65,28.00,57.00,46.36,46.50,61.76
222,1.69,42.00,55.00,51.50,52.50,61.76
223,1.49,21.00,53.50,45.07,48.50,61.76
224,1.68,43.50,62.00,50.86,51.00,61.76
225,2.13,47.00,58.50,53.29,54.50,61.76
226,1.73,48.00,57.50,51.57,50.50,61.76
227,1.71,40.00,55.00,50.29,51.50,61.76
228,1.64,30.50,55.00,48.86,51.50,61.76
229,1.80,51.00,58.50,54.07,53.00,61.76
230,1.70,44.00,59.00,51.50,52.00,61.76
231,1.66,45.50,56.00,51.57,52.50,61.76
232,1.73,48.50,65.00,54.93,51.00,61.76
233,1.32,37.00,60.00,52.29,53.00,61.76
234,1.23,44.50,59.00,50.07,48.00,61.76
235,1.23,47.50,61.00,53.57,53.50,61.76
236,1.28,52.50,56.00,54.14,53.50,61.76
237,1.23,47.50,57.00,52.57,53.00,61.76
238,1.16,42.00,55.00,50.50,53.00,61.76
