epoch,seconds,min,max,mean,median,percentNodesUsed
0,0.21,9.00,9.54,9.15,9.00,22.88
1,0.22,9.00,9.58,9.15,9.00,22.88
2,0.19,9.00,9.42,9.11,9.00,22.88
3,0.23,9.00,9.50,9.27,9.44,22.88
4,0.22,9.00,9.54,9.08,9.00,22.88
5,0.27,9.00,9.40,9.06,9.00,22.88
6,0.24,9.00,9.50,9.25,9.40,22.88
7,0.20,8.94,9.00,8.99,9.00,22.88
8,0.18,9.00,9.56,9.20,9.00,22.88
9,0.20,9.00,9.48,9.13,9.00,22.88
10,0.21,9.00,9.54,9.13,9.00,22.88
11,0.22,9.00,9.60,9.17,9.00,22.88
12,0.25,9.00,9.44,9.18,9.00,22.88
13,0.22,9.00,9.42,9.06,9.00,22.88
14,0.19,9.00,9.00,9.00,9.00,22.88
15,0.23,9.00,15.00,9.98,9.00,30.72
16,0.26,14.00,16.36,14.91,15.00,30.72
17,0.26,14.00,15.68,14.88,15.00,30.72
18,0.29,9.00,15.60,13.20,14.78,30.72
19,0.34,9.88,15.32,14.17,15.00,30.72
20,0.44,14.00,15.84,14.72,14.74,30.72
21,0.46,14.50,15.86,15.13,15.00,30.72
22,0.43,9.44,16.00,14.06,15.00,30.72
23,0.41,14.00,16.56,15.50,15.86,30.72
24,0.46,14.00,16.00,15.32,15.60,30.72
25,0.37,14.00,16.28,15.18,15.00,30.72
26,0.30,15.00,16.32,15.75,15.90,30.72
27,0.29,15.00,15.98,15.26,15.00,30.72
28,0.33,9.38,21.00,14.97,15.64,30.72
29,0.36,9.48,23.00,20.05,22.00,30.72
30,0.37,9.52,25.50,20.61,22.00,30.72
31,0.40,21.00,28.00,25.93,27.50,30.72
32,0.45,9.42,28.00,24.13,27.00,30.72
33,0.48,18.50,29.50,25.93,27.00,30.72
34,0.48,27.00,33.00,28.64,27.50,30.72
35,0.49,26.50,35.50,28.79,28.00,30.72
36,0.49,10.96,29.50,25.78,28.00,30.72
37,0.49,27.50,31.00,28.71,28.00,30.39
38,0.49,22.00,30.00,26.57,26.50,30.39
39,0.64,27.00,32.00,28.43,28.00,30.39
40,0.60,26.00,30.50,27.86,28.00,30.39
41,0.55,26.50,30.00,27.64,27.00,30.39
42,0.51,26.00,31.50,28.00,28.00,30.39
43,0.48,24.50,33.00,28.43,27.50,30.39
44,0.55,31.00,38.50,34.36,34.00,30.39
45,0.61,30.00,39.00,33.86,33.00,30.39
46,0.58,27.00,43.50,38.86,40.50,30.39
47,0.61,40.00,42.00,40.79,40.00,30.39
48,0.66,38.50,44.50,42.21,43.00,30.39
49,0.64,40.00,46.50,42.86,42.00,30.39
50,0.84,37.00,44.50,41.36,41.50,30.39
51,0.55,9.50,42.00,35.14,40.00,30.39
52,0.62,40.50,44.00,42.00,42.00,30.39
53,0.60,38.50,44.00,41.86,42.50,30.39
54,0.61,9.00,47.50,39.07,45.00,30.39
55,0.65,41.00,50.00,45.64,45.50,30.39
56,0.70,41.00,49.00,45.71,46.00,30.39
57,0.75,43.00,49.00,46.64,47.50,30.39
58,0.68,43.50,56.00,48.36,48.50,30.39
59,0.61,9.00,50.00,41.57,46.00,30.39
60,0.68,43.00,51.00,47.00,47.50,30.39
61,0.66,47.00,57.00,49.21,48.00,30.39
62,0.73,41.00,50.50,46.57,48.50,30.07
63,0.71,44.50,55.50,47.79,46.00,30.07
64,0.69,34.00,49.00,43.51,47.00,30.07
65,0.71,41.50,50.00,45.86,47.50,30.07
66,0.67,23.00,52.50,45.14,48.50,30.07
67,0.69,36.00,50.50,45.00,45.00,30.07
68,0.62,42.00,54.00,45.93,44.50,30.07
69,0.65,19.00,49.50,42.43,46.00,30.07
70,0.69,9.00,49.00,41.79,47.00,30.39
71,0.65,35.50,52.00,45.00,46.50,30.07
72,0.71,44.50,49.00,46.29,45.00,30.07
73,0.61,42.00,51.00,46.14,45.00,30.07
74,0.64,43.00,52.00,47.21,47.50,30.07
75,0.78,45.00,49.50,46.79,46.50,30.07
76,0.62,10.00,50.50,41.86,47.00,30.72
77,0.75,45.00,52.50,47.93,47.00,30.72
78,0.67,9.50,47.50,39.50,47.50,30.72
79,0.64,9.00,49.00,41.14,47.00,31.05
80,0.74,46.50,49.50,48.21,48.50,31.05
81,0.89,9.00,50.00,41.93,48.00,31.05
82,0.78,46.00,54.00,49.50,49.50,30.72
83,0.72,44.50,56.50,50.07,48.00,30.07
84,0.63,32.00,49.00,43.36,46.00,30.07
85,0.68,22.00,52.00,43.93,46.00,30.07
86,0.67,42.00,49.00,45.43,45.00,30.07
87,0.74,43.00,55.00,47.93,48.00,30.07
88,0.64,9.70,50.00,41.96,47.00,30.07
89,0.83,45.00,50.50,48.29,49.00,30.07
90,0.67,24.00,46.50,38.71,44.00,30.07
91,0.70,42.50,49.50,46.29,46.00,30.07
92,0.77,44.00,53.00,47.71,46.50,30.39
93,0.68,42.00,54.00,48.36,48.00,30.39
94,0.72,44.00,52.00,47.86,47.00,30.39
95,0.67,9.48,50.00,41.93,47.50,30.39
96,0.78,44.50,52.00,47.36,47.00,30.39
97,0.82,44.00,52.00,47.14,46.50,30.39
98,0.65,49.50,56.50,52.93,53.00,30.39
99,0.76,48.50,57.00,52.29,52.50,30.39
100,0.75,51.00,61.50,56.50,55.50,30.39
101,0.76,50.00,63.50,56.00,55.50,30.39
102,0.71,50.50,59.50,53.21,52.00,30.39
103,0.71,45.00,61.50,53.00,52.00,30.39
104,0.74,35.50,57.00,48.00,50.00,30.39
105,0.93,51.50,57.50,54.29,54.50,30.39
106,0.71,44.50,59.50,52.86,53.00,30.39
107,0.80,50.00,58.00,54.00,54.00,30.39
108,0.72,48.50,56.00,52.79,53.00,30.39
109,0.88,49.50,60.00,55.57,56.00,30.39
110,0.68,35.00,56.00,48.36,51.50,30.39
111,0.75,50.00,62.00,54.57,54.00,30.39
112,0.68,46.50,61.00,53.64,54.00,30.39
113,0.81,48.00,61.50,53.64,52.50,30.39
114,0.71,48.00,60.50,53.50,52.00,30.39
115,0.95,45.00,61.00,53.50,53.50,30.39
116,0.69,40.50,58.50,52.86,53.50,30.39
117,0.73,38.00,57.50,51.43,52.00,30.39
118,0.71,9.00,61.00,49.14,54.50,30.39
119,0.72,21.50,54.00,48.00,52.00,30.39
120,0.71,19.00,58.00,46.00,50.50,30.39
121,0.78,49.00,58.50,54.29,55.00,30.39
122,0.76,49.00,56.50,52.64,52.50,30.39
123,0.60,21.00,54.00,44.86,48.00,30.39
124,0.74,48.00,59.50,54.21,54.50,30.39
125,0.84,51.00,57.00,53.71,54.00,30.39
126,0.73,41.50,55.50,50.07,51.50,30.39
127,0.67,9.00,55.50,42.21,53.00,30.39
128,0.64,20.00,59.00,48.57,53.00,30.39
129,0.72,47.50,64.50,55.21,53.50,30.39
130,0.74,9.00,58.00,47.93,53.00,31.05
131,0.74,49.00,55.50,51.36,51.50,31.05
132,0.77,9.40,59.50,48.06,54.00,31.05
133,0.81,49.50,57.50,52.71,53.50,31.05
134,0.90,38.00,62.00,50.93,52.00,31.05
135,0.95,48.00,53.00,50.29,50.00,31.05
136,0.86,50.00,58.00,52.43,52.00,31.05
137,0.68,48.50,57.50,53.79,54.50,31.05
138,0.75,49.00,56.00,53.14,53.50,31.05
139,0.80,50.00,58.00,53.86,54.00,31.05
140,0.85,52.50,59.50,54.64,54.00,30.72
141,1.03,9.00,57.50,47.71,53.50,30.72
142,0.83,48.50,54.50,52.29,53.00,30.72
143,0.92,49.50,59.50,54.50,55.00,30.72
144,0.94,37.00,58.50,51.64,56.00,30.72
145,0.82,54.00,58.00,55.43,55.00,30.72
146,0.86,30.00,62.00,51.43,54.00,31.05
147,0.94,48.50,58.00,53.36,53.50,31.05
148,0.90,50.00,57.50,53.71,53.50,31.05
149,0.88,47.00,57.50,52.14,53.50,31.05
150,0.88,17.00,57.00,47.14,51.00,31.05
151,0.77,21.92,63.50,51.13,54.00,31.05
152,0.71,9.00,57.50,47.21,52.50,31.05
153,0.75,49.00,59.00,53.36,52.00,31.05
