epoch,seconds,min,max,mean,median,percentNodesUsed
0,0.18,9.00,9.46,9.07,9.00,29.41
1,0.19,9.00,9.52,9.07,9.00,29.41
2,0.19,9.00,9.46,9.07,9.00,29.41
3,0.20,9.00,9.46,9.13,9.00,29.41
4,0.20,9.00,9.00,9.00,9.00,29.41
5,0.20,9.00,9.58,9.20,9.00,32.68
6,0.20,9.00,9.58,9.08,9.00,32.35
7,0.21,9.00,9.50,9.26,9.42,32.35
8,0.19,9.00,9.46,9.07,9.00,32.35
9,0.20,9.00,9.36,9.05,9.00,32.35
10,0.20,9.00,9.44,9.12,9.00,32.35
11,0.20,9.00,9.40,9.06,9.00,32.35
12,0.20,9.00,9.32,9.05,9.00,32.35
13,0.22,9.00,9.58,9.19,9.00,32.35
14,0.19,9.00,9.46,9.07,9.00,32.35
15,0.19,9.00,9.50,9.07,9.00,32.35
16,0.24,9.00,9.42,9.17,9.00,32.35
17,0.28,9.00,9.52,9.21,9.00,32.35
18,0.35,9.00,9.48,9.07,9.00,32.35
19,0.30,9.00,9.52,9.27,9.46,32.35
20,0.32,9.00,9.50,9.18,9.00,32.35
21,0.33,9.00,9.48,9.13,9.00,32.35
22,0.31,9.00,12.00,9.49,9.00,32.68
23,0.31,9.44,12.00,11.58,11.98,32.68
24,0.31,9.00,20.50,13.93,13.50,32.68
25,0.32,9.72,16.00,12.46,12.00,32.68
26,0.33,9.00,19.50,14.71,16.00,32.68
27,0.36,12.00,25.00,17.36,16.50,32.68
28,0.33,14.00,22.50,17.86,19.00,32.68
29,0.33,12.00,17.50,13.29,12.50,32.68
30,0.38,13.00,20.00,15.64,14.50,32.68
31,0.33,9.00,17.00,12.93,12.50,32.68
32,0.34,10.00,16.50,12.36,11.00,32.68
33,0.30,10.50,21.50,14.43,13.00,32.35
34,0.32,9.42,18.00,13.20,12.50,32.35
35,0.36,12.00,32.48,18.07,14.50,35.95
36,0.46,28.00,32.00,29.93,30.00,35.95
37,0.40,9.00,29.00,24.57,28.00,35.95
38,0.53,15.68,30.00,26.31,28.00,35.95
39,0.43,9.00,30.50,25.57,28.00,35.95
40,0.41,9.00,31.00,25.14,27.00,35.95
41,0.42,9.00,32.50,25.57,26.50,35.95
42,0.49,9.00,34.00,26.29,28.50,35.95
43,0.47,13.50,33.00,28.14,30.00,35.95
44,0.44,28.50,37.50,32.87,32.50,35.95
45,0.45,29.00,34.02,32.20,32.86,35.95
46,0.42,22.00,35.50,30.59,32.00,35.95
47,0.48,27.00,35.00,31.41,31.00,35.95
48,0.47,9.00,34.50,29.07,32.50,35.95
49,0.44,26.00,35.88,31.00,30.50,35.95
50,0.46,19.50,35.00,29.79,31.00,35.95
51,0.40,25.50,37.00,31.64,31.00,35.95
52,0.51,31.00,34.50,32.86,33.00,35.95
53,0.47,31.00,35.50,32.93,33.00,35.95
54,0.44,28.00,35.50,33.21,34.00,35.95
55,0.58,27.50,37.92,32.69,33.50,35.95
56,0.51,32.00,38.50,34.99,35.00,35.95
57,0.44,9.44,36.00,26.92,32.50,35.95
58,0.50,31.00,38.90,33.77,33.00,35.95
59,0.48,18.00,37.80,33.04,35.50,35.95
60,0.48,31.00,34.50,32.86,33.00,35.95
61,0.56,30.50,35.00,32.50,33.00,35.95
62,0.54,9.00,34.00,25.21,31.00,35.95
63,0.46,9.00,33.50,25.35,31.00,35.95
64,0.61,31.50,35.50,32.86,32.50,35.95
65,0.49,29.50,38.80,34.04,34.00,35.95
66,0.44,32.00,39.00,34.00,33.00,35.95
67,0.51,31.00,36.00,33.14,33.00,35.95
