modelNumber,bestFitness,epochsToSolution,trainingMinutes,initialPercentageNodesUsed,finalPercentageNodesUsed,minInputs,maxInputs
130,500.0,191,9.73,27.12,25.16,5,6
131,500.0,464,11.78,55.88,20.59,5,6
132,500.0,109,5.35,52.61,54.9,5,6
133,500.0,227,7.12,18.63,19.93,5,6
134,500.0,158,2.55,45.42,10.13,5,6
135,500.0,706,76.63,23.53,39.54,5,7
136,500.0,241,5.81,12.75,12.09,5,7
137,500.0,67,1.31,30.39,29.41,5,7
138,500.0,95,3.76,34.97,32.68,5,7
139,500.0,271,22.95,13.07,39.54,5,7
140,500.0,71,11.29,56.54,56.21,5,8
141,500.0,28,0.63,25.49,10.13,5,8
142,500.0,605,42.53,41.5,49.02,5,8
143,500.0,486,20.01,45.75,38.89,5,8
144,500.0,428,20.18,39.87,33.33,5,8
145,500.0,19,0.55,25.82,25.82,5,9
146,500.0,1934,206.47,54.58,61.44,5,9
147,500.0,62,4.75,38.24,26.8,5,9
148,500.0,179,4.78,55.23,33.99,5,9
149,500.0,326,17.85,37.91,37.91,5,9
150,500.0,426,37.76,46.08,54.25,6,7
151,500.0,173,5.59,17.65,17.97,6,7
152,500.0,411,24.19,19.28,16.67,6,7
153,500.0,111,7.54,25.82,33.66,6,7
154,500.0,461,19.47,25.49,23.2,6,7
155,500.0,367,13.08,59.15,36.6,6,8
156,500.0,300,23.62,59.8,59.15,6,8
157,500.0,38,1.59,52.94,51.31,6,8
158,500.0,842,90.48,41.18,57.19,6,8
159,500.0,305,36.8,50.98,49.02,6,8
160,500.0,374,12.65,17.97,17.97,6,9
161,500.0,75,5.91,43.79,20.92,6,9
162,500.0,498,75.29,37.25,56.86,6,9
163,500.0,157,7.34,16.99,16.99,6,9
164,500.0,1168,121.02,51.63,51.96,6,9
165,500.0,75,10.91,48.69,48.69,7,8
166,500.0,117,2.06,67.65,7.19,7,8
167,500.0,361,48.39,26.47,57.19,7,8
168,500.0,637,92.58,51.96,46.41,7,8
169,500.0,515,33.67,30.07,32.03,7,8
170,500.0,312,15.54,32.68,31.7,7,9
171,500.0,740,74.5,30.07,62.75,7,9
172,500.0,258,21.94,45.1,37.25,7,9
173,500.0,435,20.93,58.17,42.16,7,9
174,500.0,712,33.64,28.43,30.39,7,9
175,500.0,564,32.68,31.05,29.41,8,9
176,500.0,1453,110.36,55.23,55.88,8,9
177,500.0,10,1.25,21.9,21.9,8,9
178,500.0,206,19.52,57.84,55.23,8,9
179,500.0,1209,145.31,39.54,41.83,8,9
