epoch,seconds,min,max,mean,median,percentNodesUsed
0,0.38,30.00,32.20,31.21,31.22,18.30
1,0.55,30.00,65.00,35.73,31.06,17.65
2,0.65,16.50,70.50,61.36,68.00,17.65
3,0.74,63.00,74.00,67.93,67.00,17.65
4,0.74,65.00,71.00,68.36,68.00,17.65
5,0.73,64.50,71.50,68.93,70.00,17.65
6,0.79,61.00,72.00,65.21,64.50,17.65
7,0.70,9.00,72.00,59.36,66.50,17.65
8,0.83,66.00,72.00,69.07,69.50,17.65
9,0.79,9.00,68.50,57.86,66.00,17.65
10,0.70,63.50,71.00,66.36,66.00,17.65
11,0.76,9.00,73.00,61.07,69.00,17.65
12,0.69,64.00,70.50,67.64,67.50,17.65
13,0.71,66.00,72.00,68.71,67.50,17.65
14,0.67,65.00,68.50,66.43,67.00,17.65
15,0.70,14.86,69.00,59.19,66.00,18.30
16,0.79,65.00,72.00,68.93,68.50,17.65
17,0.77,65.00,73.00,69.00,69.00,17.65
18,0.73,65.00,69.00,67.93,68.00,17.65
19,0.67,10.00,76.00,60.00,66.00,17.65
20,0.72,63.00,71.00,66.57,65.50,17.65
21,0.70,64.00,72.00,69.29,70.00,17.65
22,0.74,62.50,69.50,65.07,63.50,17.65
23,0.76,66.00,71.00,68.21,67.50,17.65
24,0.65,9.44,73.00,51.46,66.00,17.65
25,0.67,26.28,69.00,60.61,65.50,17.65
26,0.66,64.50,73.00,67.79,67.00,17.65
27,0.62,11.90,69.50,54.27,65.50,17.32
28,0.66,9.40,73.00,60.56,67.50,17.32
29,0.75,65.00,73.00,68.64,69.00,17.32
30,0.72,62.50,75.00,66.50,65.00,17.32
31,0.86,11.00,142.00,70.29,68.00,17.32
32,1.03,28.00,149.00,130.64,148.00,17.32
33,1.11,139.00,152.50,145.95,145.50,17.32
34,1.16,136.00,157.50,146.00,147.00,17.32
35,1.07,133.00,151.00,144.14,146.00,17.32
36,1.16,9.00,178.36,142.55,162.00,17.32
37,1.11,9.54,172.18,140.67,159.50,17.32
38,1.44,166.50,171.60,169.47,169.94,17.32
39,1.02,9.00,170.62,121.04,162.10,17.32
40,1.10,15.14,169.28,143.43,162.44,17.32
41,1.20,157.00,169.96,162.53,163.00,17.97
42,1.14,155.00,171.64,165.65,167.18,17.97
43,1.35,135.50,200.50,169.10,168.70,17.97
44,1.23,28.00,204.96,170.21,195.50,17.97
45,1.40,186.50,209.28,198.16,195.58,17.97
46,1.34,158.00,194.00,184.26,189.00,17.97
47,1.37,16.54,206.12,173.62,197.00,17.97
48,1.59,83.00,212.62,183.68,197.00,17.97
49,1.32,77.00,204.56,161.57,194.50,17.97
50,1.46,92.50,207.52,185.90,201.30,17.97
51,1.47,186.50,214.50,199.37,200.76,17.97
52,1.39,186.50,223.30,198.42,196.00,17.97
53,1.45,194.00,219.72,207.35,210.00,17.97
54,1.54,194.50,224.50,211.63,211.50,17.97
55,1.65,185.50,226.28,209.83,213.50,17.97
56,1.60,191.00,219.76,211.00,213.00,17.97
57,1.74,193.00,223.60,213.88,218.00,17.97
58,1.57,183.00,223.28,202.81,209.00,17.97
59,1.72,198.50,227.00,211.21,210.50,17.97
60,1.52,13.58,217.50,179.24,207.50,17.97
61,1.41,28.00,215.50,182.09,208.50,17.97
62,1.50,192.00,218.00,204.53,201.70,17.97
63,1.48,207.18,241.38,217.61,215.50,17.97
64,1.61,31.50,261.50,192.51,223.50,17.97
65,1.43,10.76,253.00,183.25,228.96,17.97
66,1.81,223.50,253.76,243.70,249.12,17.97
67,1.78,214.00,247.50,235.86,240.00,17.97
68,1.58,197.00,248.02,224.21,223.00,17.97
69,2.24,35.00,491.06,247.34,243.00,17.97
70,3.46,475.44,498.80,491.69,493.20,17.97
71,3.92,486.54,497.26,492.24,493.10,17.97
72,3.45,484.00,499.80,491.66,492.10,17.97
73,3.62,475.00,500.00,491.06,494.14,17.97
