epoch,seconds,min,max,mean,median,percentNodesUsed
0,0.84,101.18,110.50,105.90,106.28,25.49
1,0.86,102.00,117.50,109.43,109.50,25.49
2,1.31,112.00,183.00,126.57,117.50,25.49
3,1.44,108.50,207.00,175.86,181.00,25.49
4,1.49,176.00,214.00,192.43,189.00,25.49
5,1.51,175.50,224.10,192.44,189.50,22.55
6,1.60,191.00,222.50,205.73,206.50,22.55
7,1.53,91.00,227.72,191.56,203.44,22.55
8,1.62,134.50,208.32,191.25,200.40,22.55
9,1.37,19.00,214.50,176.68,204.54,22.55
10,1.50,187.06,223.58,201.78,202.50,22.55
11,1.27,9.00,209.38,142.50,194.50,22.55
12,1.37,42.50,215.60,170.29,190.40,22.55
13,1.37,79.00,215.62,183.23,200.52,22.55
14,1.29,55.50,202.64,169.59,187.50,22.55
15,1.50,175.50,220.50,202.27,197.00,22.55
16,1.65,189.50,219.36,207.00,210.60,22.55
17,1.47,127.00,214.00,182.63,201.88,22.55
18,1.45,48.50,216.88,186.27,210.62,22.55
19,1.63,82.00,213.50,180.57,189.50,22.55
20,1.44,103.00,229.48,194.25,204.50,21.57
21,1.57,183.00,219.86,206.85,208.00,21.57
22,1.36,165.00,222.52,190.36,195.00,21.57
23,1.43,106.00,216.22,188.09,201.94,21.57
24,1.23,9.00,208.62,141.18,176.50,21.57
25,1.45,73.00,214.54,189.27,211.68,21.57
26,1.55,129.50,216.44,185.86,194.00,21.57
27,1.38,35.24,222.66,166.63,203.50,21.57
28,1.24,43.84,183.50,156.83,172.00,21.57
29,1.42,77.00,214.18,165.45,183.50,21.57
30,1.58,157.50,221.14,194.16,198.50,21.57
31,1.33,117.00,212.66,185.95,198.00,21.57
32,1.63,179.00,218.48,206.39,209.86,21.57
33,1.53,116.50,214.00,187.05,198.50,21.57
34,1.66,179.50,229.26,201.44,193.50,21.57
35,2.04,189.50,246.70,223.55,236.68,21.57
36,2.16,192.00,239.50,225.43,231.50,21.57
37,2.03,194.50,263.24,228.44,231.50,21.90
38,1.92,128.50,259.46,224.35,234.00,21.90
39,2.07,202.50,264.50,242.27,249.04,21.90
40,1.66,13.00,242.50,175.14,213.00,21.90
41,2.02,9.58,386.78,165.57,209.00,21.90
42,2.76,84.00,412.62,307.95,380.56,21.90
43,3.20,298.00,392.76,367.19,384.76,21.90
44,3.24,191.00,417.22,341.55,385.00,21.90
45,3.07,127.00,411.66,327.90,399.96,21.90
46,3.54,374.66,414.48,400.74,409.54,21.90
47,3.32,178.50,409.48,359.21,399.82,21.90
48,3.41,178.00,404.48,359.16,388.86,21.90
49,3.37,160.00,422.76,356.99,380.56,21.90
50,3.69,376.00,483.38,413.87,410.50,21.90
51,4.36,477.78,490.92,484.53,484.22,21.90
52,4.18,477.18,488.04,484.21,484.32,21.90
53,4.27,481.06,489.34,485.23,486.04,21.90
54,4.23,478.78,488.44,482.80,482.88,21.90
55,3.74,9.52,500.00,418.25,487.72,21.90
