epoch,seconds,min,max,mean,median,percentNodesUsed
0,0.48,10.00,11.26,10.75,10.90,50.98
1,0.45,10.00,11.26,10.82,11.00,50.98
2,0.46,10.92,11.30,11.03,11.00,50.98
3,0.49,9.00,11.50,10.78,11.00,50.98
4,0.48,10.50,11.52,11.07,11.00,50.98
5,0.53,11.00,18.00,12.13,11.00,50.98
6,0.77,17.00,33.00,19.64,17.50,50.98
7,1.00,9.00,35.50,29.36,32.00,50.98
8,1.11,27.00,36.00,30.79,31.00,50.98
9,1.06,30.50,35.50,32.14,31.50,50.98
10,1.08,28.00,38.00,32.00,30.00,50.98
11,0.96,24.00,31.50,29.36,30.00,50.98
12,1.02,28.50,35.50,32.36,33.00,50.98
13,1.05,27.50,35.00,30.14,30.00,50.98
14,1.30,27.00,36.00,30.36,29.00,50.98
15,1.05,29.00,35.50,31.14,31.00,50.98
16,1.06,29.00,36.50,31.79,31.00,50.98
17,1.08,27.00,32.00,29.79,30.00,50.98
18,1.08,27.00,34.00,30.36,30.50,50.98
19,1.10,28.50,34.50,31.36,31.00,50.98
20,1.18,30.00,35.50,32.57,32.00,50.98
21,1.17,9.40,37.00,27.91,31.00,50.98
22,0.98,28.50,35.00,31.64,30.50,50.98
23,0.91,18.00,35.00,30.64,33.50,50.98
24,0.96,9.52,37.00,28.07,31.00,50.98
25,1.17,28.50,38.00,32.79,32.00,50.98
26,0.98,27.00,35.50,31.36,31.00,50.98
27,0.90,25.00,37.00,33.71,34.50,49.02
28,0.96,34.00,40.00,35.36,35.00,49.02
29,1.05,36.50,42.00,39.14,40.00,49.02
30,0.98,35.50,41.50,38.57,38.50,49.02
31,0.95,37.00,41.50,38.71,38.00,48.69
32,0.98,10.50,40.50,33.50,36.50,48.69
33,0.95,36.50,42.00,38.29,37.50,48.69
34,0.99,31.50,41.50,37.07,38.00,48.69
35,1.05,36.00,41.50,38.64,39.00,48.69
36,1.02,35.50,43.00,38.93,39.00,48.69
37,1.00,35.50,41.50,38.21,38.00,48.69
38,1.07,37.50,40.40,39.13,39.50,48.69
39,1.00,34.50,42.00,38.29,38.50,48.69
40,1.03,36.50,40.00,37.93,38.00,48.69
41,1.07,34.50,41.50,38.21,38.00,48.69
42,1.11,20.50,47.50,41.71,45.00,48.69
43,1.35,14.00,59.00,43.07,45.50,48.69
44,1.30,43.00,49.50,46.71,47.50,48.69
45,1.42,35.00,54.50,45.57,44.50,48.69
46,1.69,9.00,53.50,42.29,46.00,48.69
47,2.55,42.00,50.00,47.57,48.50,48.69
48,1.33,9.60,51.50,39.73,48.00,48.69
49,2.22,9.50,50.00,39.21,45.50,48.69
50,4.74,12.00,52.00,38.36,46.50,50.33
51,5.71,44.00,56.00,48.43,47.50,50.33
52,12.90,26.00,48.00,39.50,44.00,50.33
53,1.91,42.50,62.88,49.41,50.00,50.33
54,1.69,31.50,51.00,42.79,44.00,50.33
55,1.38,25.00,54.00,43.57,45.00,50.33
56,1.34,24.50,54.00,45.21,49.00,50.33
57,1.20,15.62,51.50,44.73,48.50,50.33
58,1.24,37.50,52.50,45.71,45.50,50.33
59,1.67,42.50,107.00,57.64,47.50,50.33
60,3.17,107.00,111.00,108.93,109.00,50.33
61,3.98,91.58,136.50,109.73,108.50,50.33
62,5.53,45.50,148.50,122.36,138.50,50.33
63,5.08,27.50,144.50,123.29,138.50,50.33
64,3.41,9.50,149.50,118.71,137.00,50.33
65,3.62,10.00,158.00,111.29,140.00,50.33
66,3.61,51.00,149.00,123.00,139.00,50.33
67,4.20,142.50,154.50,147.36,147.50,50.33
68,4.25,129.00,150.00,137.79,135.50,50.33
69,3.85,20.00,155.50,126.86,143.00,50.33
70,3.88,20.00,150.50,119.71,133.50,50.33
71,3.32,9.00,143.50,111.57,131.00,50.33
72,4.24,100.00,153.50,135.71,139.50,50.33
73,4.34,118.00,151.00,136.71,141.50,50.33
