modelNumber,bestFitness,epochsToSolution,trainingMinutes,convertedEpochs,initialPercentageNodesUsed,finalPercentageNodesUsed,minInputs,maxInputs
170,209.9,9889,869.35,9889,60.26,34.29,7,9
171,200.04,4956,749.08,4956,40.06,42.95,7,9
172,206.46,6147,661.2,6147,62.5,54.49,7,9
173,205.89,996,59.27,996,44.87,43.59,7,9
174,211.25,8186,504.26,8186,70.19,41.99,7,9
175,202.12,17615,1477.83,17615,69.23,56.41,8,9
176,16.78,-1,1565.76,20000,57.37,50.0,8,9
177,201.5,12291,1987.92,12291,70.19,42.31,8,9
178,38.32,-1,1730.25,20000,64.74,59.62,8,9
179,200.67,12074,1660.89,12074,65.06,65.06,8,9
