epoch,seconds,min,max,mean,median,percentNodesUsed
0,0.39,-147.49,-124.04,-136.76,-139.51,17.63
1,0.38,-139.86,-130.34,-134.94,-136.32,17.31
2,0.38,-138.82,-130.42,-134.32,-134.85,17.63
3,0.37,-141.56,-124.83,-134.94,-137.37,17.63
4,0.39,-145.38,-128.08,-136.09,-137.00,17.63
5,0.42,-607.62,-127.88,-201.65,-135.12,17.63
6,0.40,-151.54,-131.00,-137.23,-135.54,17.63
7,0.38,-146.39,-127.43,-135.03,-134.03,17.63
8,0.40,-136.50,-126.59,-131.56,-131.91,17.63
9,0.38,-145.45,-126.32,-138.15,-139.96,17.63
10,0.39,-142.88,-128.72,-136.81,-136.72,17.63
11,0.40,-530.97,-127.08,-190.84,-133.75,17.63
12,0.38,-140.85,-131.32,-135.50,-134.83,17.63
13,0.36,-140.16,-124.41,-129.75,-129.38,17.63
14,0.41,-577.31,-131.33,-198.36,-137.92,16.99
15,0.40,-557.63,-125.91,-192.98,-134.43,16.99
16,0.37,-140.06,-126.13,-133.33,-131.43,16.99
17,0.36,-138.56,-126.30,-133.73,-133.89,16.99
18,0.38,-583.88,-130.82,-199.14,-136.08,16.99
19,0.36,-141.35,-133.24,-136.34,-135.70,16.99
20,0.37,-144.88,-128.88,-136.26,-136.32,16.99
21,0.36,-141.14,-133.46,-137.15,-138.44,16.99
22,0.39,-138.82,-130.98,-134.37,-133.09,16.99
23,0.37,-145.30,-128.03,-135.67,-135.53,16.67
24,0.39,-137.57,-130.48,-133.61,-132.74,16.67
25,0.37,-140.60,-127.02,-136.25,-138.12,16.67
26,0.38,-141.41,-128.57,-135.74,-136.33,16.67
27,0.38,-141.96,-132.98,-138.60,-138.89,16.67
28,0.38,-139.80,-123.19,-132.99,-132.84,16.67
29,0.39,-144.57,-127.77,-135.87,-136.09,16.67
30,0.37,-138.07,-130.29,-134.87,-134.16,16.67
31,0.37,-141.54,-130.01,-134.19,-132.35,16.67
32,0.37,-141.63,-128.00,-133.41,-131.73,16.67
33,0.42,-614.62,-127.18,-202.19,-134.49,16.67
34,0.37,-140.29,-131.22,-134.50,-134.05,16.67
35,0.37,-136.87,-133.07,-134.70,-134.65,16.67
36,0.36,-142.01,-127.93,-135.17,-135.19,16.67
37,0.38,-144.09,-131.28,-135.62,-134.52,16.99
38,0.37,-138.81,-125.77,-133.93,-136.46,16.99
39,0.40,-143.41,-126.23,-135.33,-134.71,16.99
40,0.43,-141.35,-123.32,-132.71,-133.63,16.35
41,0.43,-144.43,-125.99,-134.48,-136.00,16.35
42,0.42,-142.49,-129.90,-136.25,-136.11,16.35
43,0.42,-136.46,-129.23,-133.59,-134.98,16.35
44,0.43,-145.46,-127.11,-135.15,-132.81,16.35
45,0.39,-144.41,-131.59,-136.03,-134.81,16.35
46,0.36,-552.76,-133.11,-195.59,-135.76,16.35
47,0.37,-139.62,-126.67,-132.88,-132.58,16.35
48,0.35,-139.54,-123.29,-131.64,-132.13,16.35
49,0.35,-137.92,-125.93,-133.59,-134.64,16.35
50,0.35,-140.66,-130.03,-135.47,-135.41,16.35
51,0.35,-142.23,-122.75,-132.10,-131.40,16.35
52,0.37,-139.76,-124.03,-132.52,-133.38,16.35
53,0.34,-145.99,-129.84,-134.73,-130.84,16.35
54,0.36,-142.62,-127.55,-134.40,-132.04,16.35
55,0.35,-156.26,-127.19,-139.71,-138.92,17.95
56,0.37,-139.35,-127.00,-133.45,-133.19,17.95
57,0.36,-141.37,-126.57,-133.76,-132.38,17.95
58,0.44,-590.26,-133.57,-324.80,-136.34,17.95
59,0.40,-600.11,-129.26,-200.05,-135.77,17.95
60,0.36,-140.85,-131.59,-136.41,-136.28,17.95
61,0.38,-145.46,-127.69,-134.71,-132.19,18.91
62,0.39,-139.45,-126.67,-135.34,-135.11,18.91
63,0.42,-581.10,-129.19,-199.29,-134.80,18.91
64,0.38,-138.78,-127.09,-131.48,-129.74,18.91
65,0.38,-144.23,-128.25,-133.78,-129.52,18.91
66,0.41,-139.30,-131.17,-134.23,-133.98,18.91
67,0.37,-137.06,-128.72,-132.06,-130.96,18.91
68,0.65,-850.94,-123.88,-235.14,-137.09,18.91
69,0.72,-755.99,-129.16,-224.75,-136.62,18.91
70,0.39,-145.74,-128.44,-136.35,-135.92,18.91
71,0.37,-144.48,-125.99,-136.32,-134.72,18.91
72,0.40,-536.52,-128.68,-192.61,-137.09,18.91
73,0.36,-139.21,-132.87,-135.32,-135.38,18.91
74,0.39,-143.89,-130.37,-135.08,-134.02,16.35
75,0.34,-140.33,-129.17,-135.69,-136.67,16.35
76,0.35,-146.68,-126.39,-136.42,-136.65,15.38
77,0.34,-148.61,-136.27,-140.37,-138.77,15.38
78,0.34,-139.23,-126.90,-134.59,-135.23,15.71
79,0.35,-141.92,-127.98,-136.79,-137.71,15.71
80,0.39,-640.13,-129.80,-337.05,-137.01,15.71
81,0.36,-587.50,-121.95,-197.26,-133.54,15.71
82,0.33,-142.75,-132.41,-137.52,-137.28,15.06
83,0.34,-143.37,-127.53,-135.26,-135.62,15.06
84,0.33,-558.57,-129.04,-194.85,-134.69,15.06
85,0.33,-140.50,-131.04,-136.08,-136.70,15.06
86,0.38,-569.41,-127.64,-194.97,-132.88,15.06
87,0.34,-142.72,-129.40,-137.56,-139.28,13.14
88,0.65,-956.12,-131.78,-253.85,-138.70,13.14
89,0.30,-138.90,-130.41,-135.57,-136.90,13.14
90,0.29,-149.16,-129.75,-135.84,-133.27,14.10
91,0.65,-852.01,-125.67,-234.26,-132.62,16.99
92,0.35,-142.25,-127.30,-137.13,-138.17,16.99
93,0.70,-816.51,-125.12,-231.76,-135.83,16.99
94,0.61,-791.82,-131.21,-227.88,-133.82,16.99
95,0.65,-790.23,-122.37,-226.91,-134.99,16.35
96,0.35,-140.08,-126.92,-134.19,-133.72,16.35
97,0.35,-147.14,-126.92,-135.74,-134.77,16.35
98,0.33,-141.67,-127.31,-136.43,-136.92,16.35
99,0.34,-141.43,-131.38,-135.57,-136.48,16.35
100,0.39,-595.03,-133.32,-204.09,-138.00,16.35
101,0.33,-143.41,-130.14,-135.84,-134.24,16.35
102,0.35,-149.63,-128.11,-134.92,-133.12,16.35
103,0.33,-136.52,-129.28,-131.92,-130.14,12.82
104,0.79,-1043.29,-128.94,-263.18,-133.51,12.82
105,0.30,-141.00,-130.00,-135.76,-136.81,12.82
106,0.29,-142.42,-127.95,-135.01,-135.50,12.50
107,0.69,-957.72,-130.13,-316.91,-140.46,12.50
108,0.31,-136.89,-128.48,-132.67,-133.24,15.38
109,0.38,-580.35,-132.12,-199.32,-134.46,15.06
110,0.74,-913.21,-133.33,-247.23,-136.68,15.06
111,0.56,-708.27,-136.49,-221.92,-143.16,15.38
112,0.34,-142.73,-128.22,-136.19,-137.77,17.95
113,0.35,-143.93,-126.93,-134.38,-134.62,17.95
114,0.37,-139.55,-131.54,-136.06,-135.97,18.27
115,0.36,-139.86,-131.35,-134.40,-133.78,18.27
116,0.36,-145.47,-135.49,-139.22,-138.02,18.27
117,0.65,-734.81,-122.50,-219.30,-135.06,17.63
118,0.65,-840.97,-125.35,-235.00,-133.99,16.99
119,0.34,-141.99,-124.87,-131.76,-129.81,16.67
120,0.34,-137.66,-129.74,-133.49,-133.78,16.67
