epoch,seconds,min,max,mean,median,percentNodesUsed
0,2.65,-143.66,-133.01,-136.48,-134.73,41.03
1,2.66,-142.29,-121.55,-133.12,-132.82,41.03
2,2.32,-140.64,-130.87,-136.97,-138.15,41.03
3,2.02,-141.51,-118.26,-133.56,-134.49,41.03
4,2.31,-137.94,-123.94,-133.57,-134.24,41.03
5,1.66,-136.34,-128.23,-133.08,-133.59,41.03
6,1.94,-144.63,-135.52,-137.49,-136.47,41.03
7,2.23,-461.18,-125.93,-187.87,-138.51,41.03
8,2.25,-143.13,-132.32,-136.80,-135.87,41.03
9,1.76,-146.43,-131.76,-137.43,-136.89,41.03
10,1.86,-144.14,-130.20,-138.97,-139.74,44.23
11,2.01,-134.67,-124.86,-129.24,-129.17,44.23
12,1.88,-139.75,-127.06,-133.62,-133.56,44.23
13,3.32,-589.81,-128.35,-196.34,-130.66,44.23
14,2.71,-142.71,-128.78,-134.73,-132.53,44.23
15,2.94,-143.23,-130.80,-134.90,-135.26,47.12
16,2.42,-138.08,-129.42,-134.31,-136.00,47.12
17,2.39,-143.73,-133.11,-137.80,-136.82,47.12
18,2.10,-139.48,-132.54,-135.67,-134.01,47.12
19,2.27,-143.21,-133.12,-137.02,-133.91,47.12
20,2.27,-144.66,-124.19,-134.38,-135.44,47.12
21,1.77,-138.92,-132.10,-134.64,-133.82,47.12
22,2.10,-556.42,-129.49,-197.48,-140.62,47.12
23,3.06,-141.10,-128.49,-135.25,-134.45,47.12
24,2.06,-139.12,-130.49,-133.93,-133.21,47.12
25,1.95,-546.88,-128.03,-192.71,-134.39,47.12
26,1.83,-142.43,-125.51,-133.78,-133.98,47.12
27,2.05,-344.15,-132.85,-164.85,-134.91,47.12
28,2.96,-139.89,-126.54,-134.53,-137.19,47.12
29,2.71,-143.03,-133.22,-136.57,-136.11,47.12
30,2.58,-139.37,-126.38,-132.84,-133.49,47.12
31,3.03,-142.03,-125.27,-132.38,-130.92,47.12
32,1.82,-143.14,-123.45,-134.26,-136.95,47.12
33,1.92,-143.08,-129.32,-134.39,-132.74,47.12
34,1.97,-138.36,-127.94,-133.59,-133.09,47.12
35,3.03,-139.30,-126.52,-134.51,-133.98,47.12
36,2.62,-138.69,-126.91,-133.42,-136.32,47.12
37,1.89,-146.04,-129.49,-135.27,-133.96,47.12
38,2.35,-137.68,-129.16,-134.03,-134.97,47.12
39,2.49,-177.71,-126.13,-142.03,-136.56,47.12
40,2.00,-144.28,-129.97,-136.91,-137.31,47.12
41,2.27,-139.92,-128.05,-134.84,-136.07,47.12
42,1.91,-566.60,-135.79,-239.11,-139.59,47.12
43,2.78,-139.75,-130.11,-135.03,-134.48,47.12
44,2.93,-143.25,-129.18,-134.50,-132.30,47.12
45,2.43,-140.36,-125.91,-133.87,-134.22,47.12
46,1.76,-152.82,-128.31,-137.72,-137.68,47.12
47,2.67,-141.83,-130.11,-135.28,-136.00,47.12
48,2.88,-137.96,-125.85,-131.90,-132.72,47.12
49,3.09,-508.15,-121.51,-184.98,-132.09,47.12
50,2.12,-140.78,-129.30,-136.06,-136.50,47.12
51,2.46,-146.61,-129.02,-135.22,-134.78,47.12
52,2.72,-136.80,-130.15,-133.49,-133.40,47.12
53,2.07,-139.95,-126.94,-135.31,-136.07,47.12
54,2.22,-138.06,-125.34,-131.57,-131.67,47.12
55,2.51,-147.34,-125.84,-135.35,-134.11,47.12
56,2.07,-276.82,-129.85,-157.89,-138.49,47.12
57,2.08,-140.66,-123.60,-133.74,-133.99,47.12
58,2.60,-142.64,-125.88,-133.13,-133.30,47.12
59,2.34,-145.49,-129.61,-135.97,-135.13,47.12
60,2.45,-142.72,-128.98,-138.18,-139.98,47.12
61,1.83,-140.15,-129.26,-136.47,-137.93,47.12
62,2.53,-147.45,-136.40,-139.46,-138.90,47.12
63,1.81,-141.01,-132.20,-135.56,-134.19,47.12
64,2.44,-143.32,-131.73,-136.32,-136.16,47.12
65,1.91,-142.61,-125.68,-133.41,-132.94,47.12
66,1.87,-137.32,-127.56,-132.10,-131.84,47.12
67,2.00,-140.80,-132.41,-136.97,-137.84,47.12
