epoch,seconds,min,max,mean,median,percentNodesUsed
0,1.98,-134.52,-119.85,-129.68,-130.29,39.74
1,1.31,-138.84,-118.23,-128.32,-128.69,39.74
2,1.99,-136.05,-126.80,-132.11,-132.43,39.74
3,1.67,-138.54,-123.22,-131.43,-131.04,39.74
4,1.74,-138.25,-120.12,-130.06,-128.09,39.42
5,1.70,-141.45,-127.27,-132.07,-131.13,39.42
6,1.47,-140.01,-123.74,-133.36,-135.47,39.42
7,1.78,-142.47,-131.29,-137.84,-138.61,39.42
8,1.56,-138.96,-121.52,-131.45,-131.26,39.42
9,1.52,-539.24,-124.49,-188.89,-130.07,39.42
10,1.77,-143.94,-127.21,-135.37,-134.21,39.42
11,1.84,-271.32,-126.14,-150.22,-130.46,39.42
12,1.60,-137.12,-115.77,-129.35,-127.89,39.42
13,2.17,-143.26,-126.04,-132.35,-130.55,39.42
14,1.61,-135.65,-123.23,-129.71,-130.78,39.42
15,1.89,-134.28,-120.69,-128.53,-130.66,39.42
16,1.89,-141.51,-124.01,-132.93,-132.70,39.42
17,3.02,-798.39,-130.63,-229.33,-134.31,39.42
18,1.51,-140.13,-121.09,-130.83,-130.22,39.42
19,1.96,-141.13,-122.75,-130.97,-128.25,39.42
20,1.79,-139.70,-120.72,-132.72,-133.43,39.42
21,1.48,-142.00,-130.85,-135.13,-134.34,39.42
22,1.53,-138.24,-124.30,-128.20,-124.88,39.42
23,1.56,-137.54,-128.40,-132.07,-131.60,39.42
24,1.79,-145.96,-124.94,-132.25,-130.54,39.42
25,1.71,-138.39,-119.05,-132.19,-132.94,58.65
26,2.56,-581.57,-115.92,-189.50,-123.39,58.65
27,2.75,-133.04,-111.18,-122.94,-122.30,58.65
28,1.75,-264.35,-111.87,-138.28,-116.50,58.65
29,2.33,-127.01,-115.76,-121.74,-119.75,58.65
30,2.17,-136.09,-113.15,-121.35,-120.72,58.65
31,2.09,-127.23,-118.90,-123.18,-122.79,58.65
32,2.52,-542.97,-120.09,-184.38,-123.76,58.65
33,2.51,-123.74,-112.84,-117.59,-116.87,58.65
34,2.24,-588.05,-110.89,-185.15,-115.91,58.65
35,1.89,-124.85,-118.26,-121.41,-121.61,58.65
36,2.40,-121.23,-113.00,-115.86,-115.06,58.65
37,2.02,-126.77,-115.59,-121.12,-119.29,58.65
38,2.27,-566.32,-114.84,-184.49,-122.39,58.65
39,2.07,-493.75,-116.93,-173.85,-119.56,58.65
40,2.66,-128.31,-113.54,-121.79,-122.13,58.65
41,1.98,-126.89,-115.76,-122.27,-124.12,58.65
42,2.39,-134.16,-114.60,-122.14,-121.36,58.65
43,2.01,-128.06,-113.42,-123.26,-123.54,58.65
44,2.64,-130.95,-105.33,-121.10,-122.91,58.65
45,2.07,-414.59,-111.57,-159.14,-117.95,58.65
46,2.50,-127.29,-108.58,-118.76,-118.91,58.65
47,2.49,-135.13,-108.91,-120.13,-119.53,58.65
48,1.72,-128.62,-109.08,-116.35,-116.01,58.65
49,2.50,-127.87,-112.03,-117.94,-116.58,58.65
50,2.85,-125.27,-107.39,-117.92,-118.28,58.65
51,2.11,-126.60,-114.26,-118.86,-117.26,58.65
52,2.93,-594.05,-107.75,-183.61,-117.13,58.65
53,2.48,-125.90,-115.19,-119.94,-118.93,58.65
54,2.56,-123.01,-106.58,-117.13,-118.87,58.65
55,2.04,-126.22,-114.09,-118.40,-116.90,58.65
56,2.40,-126.08,-107.94,-117.94,-118.72,58.65
57,2.32,-125.09,-112.35,-118.21,-117.53,58.97
58,2.62,-136.96,-103.41,-118.59,-115.65,60.26
59,2.38,-126.58,-104.82,-117.13,-118.87,60.26
60,2.21,-124.20,-110.50,-116.45,-116.54,60.26
61,2.74,-126.38,-109.84,-116.66,-116.59,60.26
62,1.90,-125.61,-112.84,-117.19,-115.61,60.26
63,2.46,-124.68,-107.54,-117.65,-118.28,60.26
64,2.85,-122.41,-113.28,-118.43,-120.58,60.26
65,2.46,-137.41,-108.75,-117.50,-115.26,60.26
66,2.56,-129.80,-96.97,-111.44,-112.16,60.26
67,2.84,-122.04,-104.73,-110.72,-108.70,60.26
68,2.88,-119.29,-106.60,-113.86,-115.17,60.26
69,2.95,-120.67,-98.57,-112.20,-117.93,60.26
70,3.06,-280.77,-104.42,-136.14,-110.84,60.26
71,2.56,-117.01,-101.67,-110.21,-110.06,60.26
